Collections,Sales,Buyers,Txns,Owners
Monkey Kingdom,"$14,081,472","1,599","3,583","1,071"
Catalina Whale Mixer,"$14,060,757","4,470","9,687","2,340"
The Wanderers,"$13,989,394","6,391","13,135","4,263"
8SIAN,"$13,825,523","7,068","12,095",
Fat Ape Club,"$13,784,829","4,283","7,070","5,407"
Kitty Crypto Gang,"$13,544,279","5,121","8,739",
LinksDAO,"$13,377,150","4,221","6,076","5,299"
Jenkins the Valet The Writers Room,"$13,375,920","4,314","9,202","2,817"
Terraforms,"$13,300,106","3,253","8,136",
Dead Heads,"$13,287,317","5,050","14,905","3,428"
Undead Pastel Club,"$13,049,857","7,636","11,602",
StackedToadz,"$13,034,490","2,189","4,697","1,368"
uwucrew,"$12,789,838","6,600","14,700",
PUNKS Comics 2,"$12,782,466","5,893","8,826","6,475"
BrainDrops,"$12,644,966","2,001","5,458","1,970"
The Indifferent Duck,"$12,619,397","7,745","14,889",
Crypto Cannabis Club,"$12,579,146","5,132","11,850","4,275"
Space Runners,"$12,453,060","1,519","6,148","6,267"
CreatureToadz,"$12,328,589","5,240","10,246","4,722"
Bored Mummy Waking Up,"$12,286,037","6,508","15,968","3,716"
Noundles,"$12,216,063","5,711","11,490","3,307"
Monfters Club,"$12,174,725","5,889","12,051",
Async Blueprints,"$12,123,638",659,"1,098","2,143"
CakedApes,"$11,876,785","6,708","11,862",
Chicken Derby,"$11,766,357","5,135","22,541","5,839"
Bricktopians,"$11,325,424","7,783","12,776",
Colonize Mars,"$11,276,511","20,272","472,233","31,652"
Basis Markets,"$11,180,215",355,773,970
HalloweenBears,"$11,033,370","5,268","12,707","3,749"
MonsterBuds,"$10,967,192","4,033","9,261","3,428"
Monkey Ball,"$10,784,788","3,392","8,052","3,590"
BearGame,"$10,775,035","3,438","7,832",
Kumo x World,"$10,721,365","6,972","12,856",
GOOP TROOP,"$10,714,271","3,427","8,783","2,383"
Rogue Society Bot,"$10,713,720","7,411","15,345","7,060"
Gauntlets,"$10,496,297","3,143","7,032","3,845"
WVRPS by Warpsound,"$10,399,215","4,861","10,056",
Mutant Garden Seeder,"$10,289,402",270,504,283
Axolittles,"$10,251,455","6,733","15,146","4,289"
Stoned Ape Crew,"$10,204,913","3,350","7,537","4,203"
The Flower Girls,"$10,193,570","6,489","12,709","4,162"
Party Penguins,"$10,141,014","5,745","14,361","3,846"
Goons of Balatroon,"$10,122,808","3,515","9,016","3,352"
Degenerate Trash Pandas,"$10,103,060","3,866","8,595","17,148"
SolChicks,"$10,056,360","3,025","5,613","3,095"
CryptoHoots Steampunk Parliament,"$9,951,057","1,835","4,350",942
Cool Pets,"$9,882,194",945,"1,320",
Toy Boogers,"$9,864,893","3,570","6,535",
PXQuest Adventurer,"$9,839,013","7,373","9,705",
Playboy Rabbitars Official,"$9,837,376","3,771","7,450","5,213"
NAH Fungible Bones,"$9,774,849","7,285","16,028","4,901"
Sollamas,"$9,718,145","4,785","10,647","3,637"
Star Sailor Siblings,"$9,683,878","3,732","10,179","2,795"
DuskBreakers,"$9,668,012","4,022","11,218",
Quantum Traders,"$9,621,922","3,733","7,674","3,717"
KingFrogs,"$9,244,655","5,858","11,798","5,603"
Royal Society Players,"$9,106,328","1,588","7,707","1,590"
