Date,Price,Open,High,Low,Vol.,Change %
Jun 85,315.7,317.5,328.2,309.8,11.10K,-0.0016
Jul 85,327.1,309,329.7,309,34.95K,0.0361
Aug 85,333.2,325,342.2,318.5,10.99K,0.0186
Sep 85,322.8,327,329.7,317,3.32K,-0.0312
Oct 85,324.7,321.7,330.6,321,5.93K,0.0059
Nov 85,322.9,325,332,322.7,23.30K,-0.0055
Dec 85,329,324,328.2,313,15.97K,0.0189
Jan 86,348.8,327,364,327,17.87K,0.0602
Feb 86,339,346.5,355.4,329,10.54K,-0.0281
Mar 86,331.1,336.2,350.9,330.5,15.63K,-0.0233
Apr 86,346.2,332.5,348.7,328,12.91K,0.0456
May 86,344.1,341.1,345.3,339,26.65K,-0.0061
Jun 86,345.7,343.4,352,334.7,19.98K,0.0046
Jul 86,362.7,342.5,365,342.5,20.39K,0.0492
Aug 86,387.6,360.7,397,357.5,11.41K,0.0687
Sep 86,425.7,393.1,431.5,392,6.12K,0.0983
Oct 86,403.6,425.9,443,399,6.20K,-0.0519
Nov 86,390.9,402.9,410.9,380.3,25.78K,-0.0315
Dec 86,404.9,399,400,383,14.49K,0.0358
Jan 87,405.1,401.5,424.5,397,16.34K,0.0005
Feb 87,405.4,405.5,409,389,10.28K,0.0007
Mar 87,418,410.4,425,403.9,14.53K,0.0311
Apr 87,454.1,417.6,478.5,415,11.52K,0.0864
May 87,450.2,455,475,448.8,47.16K,-0.0086
Jun 87,449.4,445,465.5,434,14.93K,-0.0018
Jul 87,464.1,446.8,464.8,445.3,27.87K,0.0327
Aug 87,450.6,475,479,448,11.76K,-0.0291
Sep 87,452.7,454.2,465.3,452.2,8.28K,0.0047
Oct 87,468.8,453.5,491.5,452.8,6.61K,0.0356
Nov 87,491,469.9,497,456,9.01K,0.0474
Dec 87,486.1,488,502.3,475,18.55K,-0.01
Jan 88,454.2,479.2,484,450,26.60K,-0.0656
Feb 88,430.5,454.8,457.5,424,14.95K,-0.0522
Mar 88,454.4,429.2,460,427.5,35.76K,0.0555
Apr 88,451,457.3,462,446,14.65K,-0.0075
May 88,455,445.6,459.3,444.8,21.05K,0.0089
Jun 88,435.3,457.5,469.5,434.5,14.58K,-0.0433
Jul 88,436.1,437.9,447,425.9,45.13K,0.0018
Aug 88,431.3,436.8,437.2,422,13.92K,-0.011
Sep 88,394.4,430,430,391.8,4.16K,-0.0856
Oct 88,412.7,394.7,414.3,393.3,2.62K,0.0464
Nov 88,424.8,411,425.7,411,37.35K,0.0293
Dec 88,410,425,433.5,408.2,21.87K,-0.0348
Jan 89,391.6,410.8,410.8,389.5,24.57K,-0.0449
Feb 89,387.5,392.3,398,380,15.87K,-0.0105
Mar 89,385.1,383.5,396.5,381.5,19.64K,-0.0062
Apr 89,377.9,386,393,377.5,16.19K,-0.0187
May 89,363.3,378,379.8,363,29.26K,-0.0386
Jun 89,374.6,363,381,356.5,23.46K,0.0311
Jul 89,370.5,381,386.5,365.8,54.46K,-0.0109
Aug 89,359.9,370,375,360,12.27K,-0.0286
Sep 89,367.2,359,369.2,359,4.04K,0.0203
Oct 89,374.7,366,378,361,2.92K,0.0204
Nov 89,411.6,374.2,415.5,374.2,33.25K,0.0985
Dec 89,402.5,413,418.7,398.6,9.19K,-0.0221
Jan 90,412.4,399.6,422,393,27.00K,0.0246
Feb 90,406.1,413,425,405.5,9.95K,-0.0153
Mar 90,370.2,402.5,404.1,365.8,25.01K,-0.0884
Apr 90,368.4,367.2,381.1,367.1,7.02K,-0.0049
May 90,364.3,368,375.6,362.7,29.89K,-0.0111
Jun 90,357.9,363.6,364.7,346,11.28K,-0.0176
Jul 90,370,358,373.3,353,29.92K,0.0338
Aug 90,382.3,370.2,415.5,370.1,7.69K,0.0332
Sep 90,402.5,382,408.2,378,3.23K,0.0528
Oct 90,379.4,397,399.8,360.5,3.81K,-0.0574
Nov 90,383.3,385.7,390.2,377.6,26.09K,0.0103
Dec 90,394.2,383,394.2,368,10.11K,0.0284
Jan 91,365.8,393,403.2,365.2,24.84K,-0.072
Feb 91,367.4,369.5,371,356,6.49K,0.0044
Mar 91,357.1,367,367.5,354.5,30.56K,-0.028
Apr 91,355.9,360.7,366,350.3,8.32K,-0.0034
May 91,361.4,356,364.3,353.2,18.06K,0.0155
Jun 91,368.1,363.8,375,359.8,9.02K,0.0185
Jul 91,363.6,370,371,360.6,20.54K,-0.0122
Aug 91,348.1,363.6,363.7,348.1,6.69K,-0.0426
Sep 91,354,348.3,356.1,341,4.75K,0.0169
Oct 91,358.1,354.1,364.6,353.7,2.42K,0.0116
Nov 91,367.9,355.6,369.3,353.7,29.72K,0.0274
Dec 91,354.1,368.8,372.5,351,6.30K,-0.0375
Jan 92,357,352.1,359.8,349.3,16.65K,0.0082
Feb 92,353,357.5,359.3,348.5,4.57K,-0.0112
Mar 92,343.7,350,351.4,338.2,26.92K,-0.0263
Apr 92,337.6,344.5,345,335,8.69K,-0.0177
May 92,336.4,338.5,338.5,336.1,37.71K,-0.0036
Jun 92,343.1,336.6,345,336.4,7.11K,0.0199
Jul 92,357.4,347.3,359.1,347.3,18.71K,0.0417
Aug 92,342.7,356.4,356.5,332.5,5.64K,-0.0411
Sep 92,347.8,340.8,351.2,340.8,1.99K,0.0149
Oct 92,339.4,348.1,351,338,32.24K,-0.0242
Nov 92,334.3,339.9,339.9,329.7,54.38K,-0.015
Dec 92,332.8,334.4,339.2,331.8,9.66K,-0.0045
Jan 93,330.2,330,332.7,327,23.73K,-0.0078
Feb 93,328.4,330,334.2,328,9.19K,-0.0055
Mar 93,337.6,329.8,339.8,326,14.65K,0.028
Apr 93,356.5,337,354.2,336,4.00K,0.056
May 93,378.3,355,384.5,355,5.85K,0.0612
Jun 93,378.4,377.5,378.6,361.7,8.40K,0.0003
Jul 93,407,391.9,407.5,391.2,29.74K,0.0756
Aug 93,373,405.5,409,364.5,13.49K,-0.0835
Sep 93,355.1,353,356.3,343,5.02K,-0.048
Oct 93,368.7,354.3,375,350.5,0.43K,0.0383
Nov 93,369.8,377,377,368,43.66K,0.003
Dec 93,390.8,369.5,392.5,368.3,7.52K,0.0568
Jan 94,381.6,391,391,375.3,32.87K,-0.0235
Feb 94,381.4,381.3,390.5,375.7,4.82K,-0.0005
Mar 94,391.8,381,394,375,26.99K,0.0273
Apr 94,376.6,392,393,369.1,4.96K,-0.0388
May 94,387.1,376.6,388.2,376.6,29.49K,0.0279
Jun 94,385.8,387.4,395.7,377.7,8.57K,-0.0034
Jul 94,383,386.7,387.7,381.5,26.64K,-0.0073
Aug 94,386.3,383.8,387.3,375.4,13.71K,0.0086
Sep 94,394.2,389.5,395.9,389.5,3.61K,0.0205
Oct 94,383.5,392.6,395.2,385.5,0.77K,-0.0271
Nov 94,380.7,384.3,386.7,379.7,32.31K,-0.0073
Dec 94,383.1,379.5,383.6,374.5,7.92K,0.0063
Jan 95,375.4,377.7,384.5,372,18.72K,-0.0201
Feb 95,376.9,376.4,381,374.5,8.16K,0.004
Mar 95,392.2,379,401,378.9,22.10K,0.0406
