Date,Open,High,Low,Close,Adj Close,Volume
1999-07-07,24.361961,24.536152,23.242155,23.739847,22.865974,2752965
1999-07-08,23.590540,24.461498,23.441233,24.187769,23.297411,1956788
1999-07-09,24.187769,24.312191,23.789616,23.839384,22.961849,1703869
1999-07-12,24.088230,24.088230,23.192387,23.291925,22.434544,1720195
1999-07-13,23.242155,23.391464,22.694696,23.092850,22.242794,1629526
1999-07-14,23.291925,24.088230,23.192387,23.988691,23.105656,1858333
1999-07-15,24.287308,25.979456,24.013577,25.904802,24.951239,2945604
1999-07-16,25.904802,25.929686,24.784998,25.282688,24.352026,2452577
1999-07-19,25.506649,25.531534,24.585920,24.834766,23.920589,2015057
1999-07-20,23.988691,24.486383,21.102085,21.749084,20.948494,15891898
1999-07-21,22.097467,22.197006,21.102085,21.450470,20.660870,8336503
1999-07-22,21.500238,21.550009,19.210861,21.151855,20.373247,9764096
1999-07-23,21.201624,21.475353,19.534361,20.181358,19.438475,5821135
1999-07-26,19.360168,19.957397,18.762939,18.887363,18.192114,4112243
1999-07-27,19.907629,21.102085,19.509476,20.753702,19.989752,7540828
1999-07-28,20.554626,21.699314,20.056936,21.599777,20.804684,4086122
1999-07-29,21.102085,21.450470,20.703934,20.703934,19.941816,3264327
1999-07-30,20.753702,21.102085,20.355551,20.728819,19.965784,2294598
1999-08-02,20.853241,21.400702,19.857861,20.256012,19.510382,2386522
1999-08-03,20.554626,20.554626,19.360168,20.032051,19.294666,3257796
1999-08-04,19.882744,20.106705,19.210861,19.285515,18.575609,2524409
1999-08-05,19.260632,19.285515,17.568481,19.161093,18.455765,5652858
1999-08-06,18.912247,19.459707,18.389671,18.538979,17.856552,2253408
1999-08-09,18.713171,18.762939,18.041288,18.091057,17.425119,2001243
1999-08-10,17.991520,19.409939,17.369406,19.310400,18.599577,3855306
1999-08-11,19.484591,20.206244,18.912247,20.007168,19.270695,3642071
1999-08-12,20.206244,20.504856,19.957397,20.256012,19.510382,3730228
1999-08-13,20.604397,21.898392,20.604397,21.798853,20.996429,4214967
1999-08-16,21.848621,22.445850,21.102085,21.649546,20.852621,2243361
1999-08-17,21.997931,22.495621,21.400702,21.948160,21.140242,2650743
1999-08-18,21.724199,21.848621,21.201624,21.201624,20.421185,1813124
1999-08-19,21.052317,21.400702,20.405319,20.903009,20.133562,2363416
1999-08-20,21.052317,21.052317,20.206244,20.479973,19.726099,2028368
1999-08-23,20.778587,21.251394,20.554626,21.077202,20.301340,2822536
1999-08-24,21.077202,22.346313,20.803473,21.873507,21.068335,4962419
1999-08-25,22.172121,22.620043,21.550009,22.271660,21.451832,4438500
1999-08-26,22.321428,23.291925,22.246775,22.470736,21.643583,4760738
1999-08-27,22.545389,22.943542,22.246775,22.445850,21.619614,2656017
1999-08-30,22.669811,22.844004,22.022814,22.197006,21.379929,2719309
1999-08-31,22.197006,22.968428,22.047699,22.694696,21.859297,2862471
1999-09-01,22.794235,22.943542,21.699314,22.147238,21.331991,3189732
1999-09-02,21.699314,22.396082,21.251394,21.848621,21.044367,2239594
1999-09-03,22.495621,23.491001,22.346313,23.391464,22.530416,4348835
1999-09-07,23.515886,24.386845,23.515886,24.187769,23.297411,4671827
1999-09-08,24.063347,24.187769,22.893772,22.893772,22.051046,3729224
1999-09-09,23.739847,23.938923,21.848621,22.644928,21.811359,5962790
1999-09-10,23.366579,23.914040,23.092850,23.826942,22.949862,6023821
1999-09-13,23.988691,24.984074,23.889154,24.660576,23.752813,4585177
1999-09-14,24.585920,26.103878,24.436613,26.078993,25.119015,5782959
1999-09-15,26.377607,26.477146,24.685459,24.697903,23.788765,6255642
1999-09-16,24.984074,26.626453,24.287308,25.556417,24.615679,4518620
1999-09-17,26.377607,27.372990,26.054110,26.775761,25.790140,5717909
1999-09-20,27.422758,27.845797,25.929686,26.626453,25.646326,3547133
1999-09-21,26.153646,26.999722,26.078993,26.489588,25.514496,3233434
1999-09-22,26.701107,27.721373,26.153646,27.572065,26.557129,2998850
1999-09-23,27.422758,27.422758,25.780378,26.004339,25.047115,4402584
1999-09-24,25.631071,26.029224,23.938923,24.685459,23.776779,4822523
1999-09-27,25.282688,26.078993,24.735229,25.257805,24.328056,2094674
1999-09-28,24.959188,25.232920,24.088230,24.760113,23.848682,2572381
1999-09-29,24.784998,25.257805,23.192387,23.316811,22.458509,3198523
1999-09-30,23.864269,24.710344,22.794235,24.660576,23.752813,4758226
1999-10-01,24.138000,24.834766,22.993311,23.640308,22.770100,2860210
1999-10-04,23.938923,24.934305,23.739847,24.934305,24.016466,2983278
1999-10-05,24.984074,25.232920,24.361961,24.809881,23.896622,4383495
1999-10-06,24.934305,26.228300,24.934305,26.153646,25.190922,2157213
1999-10-07,26.078993,26.427378,25.133381,26.352722,25.382669,2724835
1999-10-08,26.178532,26.203417,25.133381,25.407110,24.471865,1603154
1999-10-11,25.680841,26.775761,25.680841,26.402493,25.430609,3091780
1999-10-12,26.526915,27.223682,24.834766,24.884537,23.968525,3890468
