Local time,Open,High,Low,Close,Volume
30.04.2015 18:00:00.000 GMT-0300,1.53513,1.53970,1.51140,1.51344,236154.66
01.05.2015 18:00:00.000 GMT-0300,1.51344,1.51344,1.51344,1.51344,0
02.05.2015 18:00:00.000 GMT-0300,1.51344,1.51344,1.51344,1.51344,0
03.05.2015 18:00:00.000 GMT-0300,1.51391,1.51744,1.50899,1.51185,160732.24139999997
04.05.2015 18:00:00.000 GMT-0300,1.51185,1.52182,1.50889,1.51806,296422.89869999996
05.05.2015 18:00:00.000 GMT-0300,1.51806,1.52911,1.51497,1.52434,298837.252
06.05.2015 18:00:00.000 GMT-0300,1.52430,1.52749,1.51632,1.52424,338799.6713
07.05.2015 18:00:00.000 GMT-0300,1.52454,1.55220,1.52369,1.54524,389856.35910000006
08.05.2015 18:00:00.000 GMT-0300,1.54524,1.54524,1.54524,1.54524,0
09.05.2015 18:00:00.000 GMT-0300,1.54524,1.54524,1.54524,1.54524,0
10.05.2015 18:00:00.000 GMT-0300,1.54430,1.56127,1.53928,1.55844,300877.4917
11.05.2015 18:00:00.000 GMT-0300,1.55844,1.57102,1.55571,1.56687,278811.3156000001
12.05.2015 18:00:00.000 GMT-0300,1.56684,1.57687,1.56331,1.57440,308956.7223
13.05.2015 18:00:00.000 GMT-0300,1.57440,1.58144,1.57280,1.57753,297647.8421
14.05.2015 18:00:00.000 GMT-0300,1.57753,1.58082,1.57011,1.57286,294476.97179999994
15.05.2015 18:00:00.000 GMT-0300,1.57286,1.57286,1.57286,1.57286,0
16.05.2015 18:00:00.000 GMT-0300,1.57286,1.57286,1.57286,1.57286,0
17.05.2015 18:00:00.000 GMT-0300,1.57410,1.57450,1.56379,1.56521,216840.02000000005
18.05.2015 18:00:00.000 GMT-0300,1.56522,1.56695,1.54463,1.55092,295500.13180000003
19.05.2015 18:00:00.000 GMT-0300,1.55115,1.55875,1.54721,1.55341,256314.49149999997
20.05.2015 18:00:00.000 GMT-0300,1.55343,1.56996,1.55249,1.56610,155006.119
21.05.2015 18:00:00.000 GMT-0300,1.56599,1.56896,1.54599,1.54789,153078.7811
22.05.2015 18:00:00.000 GMT-0300,1.54789,1.54789,1.54789,1.54789,0
23.05.2015 18:00:00.000 GMT-0300,1.54789,1.54789,1.54789,1.54789,0
24.05.2015 18:00:00.000 GMT-0300,1.54728,1.55073,1.54561,1.54674,91468.1709
25.05.2015 18:00:00.000 GMT-0300,1.54673,1.54751,1.53537,1.53831,147614.0104
26.05.2015 18:00:00.000 GMT-0300,1.53835,1.54371,1.53010,1.53515,143069.5289
27.05.2015 18:00:00.000 GMT-0300,1.53515,1.53855,1.52600,1.53141,140640.6589
28.05.2015 18:00:00.000 GMT-0300,1.53137,1.53420,1.52361,1.52899,154773.77930000002
29.05.2015 18:00:00.000 GMT-0300,1.52899,1.52899,1.52899,1.52899,0
30.05.2015 18:00:00.000 GMT-0300,1.52899,1.52899,1.52899,1.52899,0
31.05.2015 18:00:00.000 GMT-0300,1.52920,1.53044,1.51699,1.52001,154633.5293
01.06.2015 18:00:00.000 GMT-0300,1.52001,1.53669,1.51795,1.53430,167945.33889999997
02.06.2015 18:00:00.000 GMT-0300,1.53430,1.53748,1.52507,1.53391,170346.0422
03.06.2015 18:00:00.000 GMT-0300,1.53396,1.54415,1.53038,1.53628,157511.748
04.06.2015 18:00:00.000 GMT-0300,1.53626,1.53698,1.51899,1.52634,160201.6916
05.06.2015 18:00:00.000 GMT-0300,1.52634,1.52634,1.52634,1.52634,0
06.06.2015 18:00:00.000 GMT-0300,1.52634,1.52634,1.52634,1.52634,0
07.06.2015 18:00:00.000 GMT-0300,1.52553,1.53639,1.52211,1.53476,146556.189
08.06.2015 18:00:00.000 GMT-0300,1.53476,1.53889,1.52571,1.53836,162440.41139999998
09.06.2015 18:00:00.000 GMT-0300,1.53835,1.55534,1.53687,1.55290,179018.0804
10.06.2015 18:00:00.000 GMT-0300,1.55296,1.55338,1.54212,1.55160,145412.76030000002
11.06.2015 18:00:00.000 GMT-0300,1.55158,1.55979,1.54662,1.55558,161123.48920000007
