Date,Open,High,Low,Close
2016.12.27 00:00,1.2278,1.22858,1.22398,1.22698
2016.12.28 00:00,1.22689,1.22964,1.22004,1.22208
2016.12.29 00:00,1.22212,1.22734,1.22096,1.22561
2016.12.30 00:00,1.2256,1.23867,1.22452,1.23238
2017.01.02 00:00,1.23432,1.23468,1.22732,1.22758
2017.01.03 00:00,1.22753,1.23064,1.21996,1.22392
2017.01.04 00:00,1.22393,1.23514,1.22212,1.23199
2017.01.05 00:00,1.23198,1.24309,1.22694,1.2413
2017.01.06 00:00,1.24127,1.24304,1.2261,1.2282
2017.01.09 00:00,1.22545,1.22697,1.21245,1.21718
2017.01.10 00:00,1.21728,1.21882,1.21072,1.21729
2017.01.11 00:00,1.21723,1.22702,1.20377,1.22045
2017.01.12 00:00,1.22053,1.23153,1.21523,1.21583
2017.01.13 00:00,1.21576,1.22313,1.21206,1.21857
2017.01.16 00:00,1.20463,1.20839,1.19875,1.20194
2017.01.17 00:00,1.20197,1.24141,1.20197,1.24026
2017.01.18 00:00,1.24027,1.24089,1.22532,1.22628
2017.01.19 00:00,1.22644,1.2342,1.2252,1.23329
2017.01.20 00:00,1.23321,1.23789,1.22606,1.23595
2017.01.23 00:00,1.23772,1.2544,1.23749,1.25347
2017.01.24 00:00,1.25366,1.25426,1.24185,1.2527
2017.01.25 00:00,1.25263,1.26381,1.24895,1.26333
2017.01.26 00:00,1.26332,1.2672,1.25551,1.25922
2017.01.27 00:00,1.25918,1.26043,1.25161,1.25525
2017.01.30 00:00,1.25649,1.25996,1.2466,1.24922
2017.01.31 00:00,1.24921,1.25948,1.24121,1.25804
2017.02.01 00:00,1.25803,1.26782,1.25427,1.2658
2017.02.02 00:00,1.26583,1.27047,1.25174,1.2529
2017.02.03 00:00,1.25313,1.25371,1.24565,1.2483
2017.02.06 00:00,1.24789,1.24984,1.24268,1.24668
2017.02.07 00:00,1.24669,1.25451,1.23468,1.25067
2017.02.08 00:00,1.25053,1.25483,1.24747,1.25371
2017.02.09 00:00,1.2537,1.25807,1.24907,1.24981
2017.02.10 00:00,1.24983,1.252,1.24391,1.24862
2017.02.13 00:00,1.24892,1.25377,1.24791,1.25253
2017.02.14 00:00,1.25249,1.25472,1.24426,1.24727
2017.02.15 00:00,1.2473,1.24795,1.2383,1.24609
2017.02.16 00:00,1.24605,1.2522,1.24539,1.2485
2017.02.17 00:00,1.24849,1.25103,1.23878,1.24129
2017.02.20 00:00,1.24183,1.24811,1.24085,1.2465
2017.02.21 00:00,1.24649,1.24797,1.24004,1.24768
2017.02.22 00:00,1.24759,1.25064,1.24231,1.24573
2017.02.23 00:00,1.24574,1.25598,1.24277,1.25508
2017.02.24 00:00,1.25509,1.25686,1.24479,1.24559
2017.02.27 00:00,1.24535,1.24773,1.23836,1.24397
2017.02.28 00:00,1.24399,1.24689,1.23712,1.23764
2017.03.01 00:00,1.23765,1.24045,1.228,1.22999
2017.03.02 00:00,1.22996,1.2306,1.22423,1.22691
2017.03.03 00:00,1.22692,1.22983,1.22151,1.22975
2017.03.06 00:00,1.22886,1.22992,1.22231,1.22395
2017.03.07 00:00,1.22387,1.22525,1.21694,1.22046
2017.03.08 00:00,1.22028,1.22125,1.21394,1.21671
2017.03.09 00:00,1.2167,1.21945,1.21344,1.21536
2017.03.10 00:00,1.21535,1.21869,1.21391,1.21723
2017.03.13 00:00,1.21626,1.22499,1.21565,1.22122
2017.03.14 00:00,1.22116,1.22136,1.2109,1.21513
2017.03.15 00:00,1.21516,1.23079,1.21498,1.2291
2017.03.16 00:00,1.22911,1.23757,1.22412,1.23539
2017.03.17 00:00,1.23538,1.24047,1.23237,1.23924
2017.03.20 00:00,1.23866,1.24353,1.2335,1.23581
2017.03.21 00:00,1.23583,1.2493,1.23403,1.24757
2017.03.22 00:00,1.24755,1.25058,1.2424,1.24743
2017.03.23 00:00,1.24747,1.25299,1.24629,1.25169
2017.03.24 00:00,1.2517,1.25186,1.24684,1.24723
2017.03.27 00:00,1.24938,1.2614,1.24903,1.25589
2017.03.28 00:00,1.25588,1.25948,1.24408,1.24555
2017.03.29 00:00,1.24554,1.24742,1.23765,1.24386
2017.03.30 00:00,1.24385,1.25229,1.24021,1.24703
2017.03.31 00:00,1.247,1.25475,1.24331,1.25277
2017.04.03 00:00,1.25368,1.25543,1.24656,1.24847
2017.04.04 00:00,1.24851,1.24956,1.24186,1.24448
2017.04.05 00:00,1.24447,1.24965,1.24226,1.24903
2017.04.06 00:00,1.24899,1.25049,1.24507,1.24679
2017.04.07 00:00,1.24674,1.24777,1.23694,1.23701
2017.04.10 00:00,1.23747,1.24279,1.23645,1.24167
2017.04.11 00:00,1.24168,1.24949,1.24013,1.24902
2017.04.12 00:00,1.24903,1.25479,1.2479,1.25445
2017.04.13 00:00,1.25451,1.25729,1.25003,1.25055
2017.04.14 00:00,1.25057,1.25339,1.24999,1.25285
2017.04.17 00:00,1.25323,1.25946,1.25242,1.25657
2017.04.18 00:00,1.25656,1.29033,1.25149,1.28419
2017.04.19 00:00,1.28427,1.28592,1.27696,1.2781
2017.04.20 00:00,1.27811,1.28457,1.27719,1.28075
2017.04.21 00:00,1.28072,1.28331,1.27566,1.2797
2017.04.24 00:00,1.28272,1.28319,1.2771,1.27899
2017.04.25 00:00,1.27901,1.28443,1.27745,1.28334
2017.04.26 00:00,1.28336,1.28619,1.28042,1.28418
2017.04.27 00:00,1.28416,1.29155,1.28402,1.29033
2017.04.28 00:00,1.29029,1.29649,1.28876,1.29507
2017.05.01 00:00,1.29388,1.29432,1.2881,1.28853
2017.05.02 00:00,1.28852,1.29399,1.28627,1.29356
2017.05.03 00:00,1.29355,1.29469,1.28613,1.28668
2017.05.04 00:00,1.28675,1.29303,1.28309,1.29204
2017.05.05 00:00,1.29205,1.29803,1.29002,1.29796
2017.05.08 00:00,1.2984,1.29852,1.29288,1.29395
2017.05.09 00:00,1.29394,1.29592,1.29018,1.29372
2017.05.10 00:00,1.29361,1.29864,1.29268,1.29339
2017.05.11 00:00,1.2934,1.29474,1.28491,1.28869
2017.05.12 00:00,1.2887,1.28983,1.28444,1.28813
2017.05.15 00:00,1.2891,1.29396,1.28808,1.28965
2017.05.16 00:00,1.28964,1.29568,1.28648,1.29153
2017.05.17 00:00,1.29155,1.29898,1.2905,1.29769
2017.05.18 00:00,1.29764,1.30468,1.28894,1.29393
2017.05.19 00:00,1.2939,1.30388,1.29344,1.30325
2017.05.22 00:00,1.30185,1.30423,1.29648,1.29988
2017.05.23 00:00,1.29987,1.30328,1.29522,1.29614
2017.05.24 00:00,1.29615,1.29983,1.29263,1.29693
2017.05.25 00:00,1.29694,1.30138,1.29313,1.2936
2017.05.26 00:00,1.29359,1.29404,1.27747,1.2811
2017.05.29 00:00,1.28118,1.28493,1.28083,1.2835
2017.05.30 00:00,1.28348,1.28873,1.27907,1.27984
2017.05.31 00:00,1.27981,1.29203,1.27683,1.28744
2017.06.01 00:00,1.28742,1.29148,1.28291,1.28845
2017.06.02 00:00,1.28847,1.29028,1.28448,1.28795
2017.06.05 00:00,1.28679,1.29398,1.28591,1.29003
2017.06.06 00:00,1.29,1.29488,1.28713,1.29061
2017.06.07 00:00,1.2906,1.29681,1.28868,1.2959
2017.06.08 00:00,1.29588,1.29768,1.27045,1.27423
2017.06.09 00:00,1.27425,1.28268,1.26347,1.2731
2017.06.12 00:00,1.27322,1.27686,1.26378,1.26754
2017.06.13 00:00,1.26753,1.27558,1.26413,1.27501
2017.06.14 00:00,1.27498,1.28168,1.27226,1.2747
2017.06.15 00:00,1.2747,1.27951,1.26903,1.27525
2017.06.16 00:00,1.27525,1.28048,1.27505,1.27828
2017.06.19 00:00,1.2763,1.28142,1.27233,1.27373
2017.06.20 00:00,1.27373,1.27577,1.26033,1.2625
2017.06.21 00:00,1.2625,1.27093,1.25888,1.26743
2017.06.22 00:00,1.2674,1.26907,1.26533,1.26798
2017.06.23 00:00,1.26799,1.27435,1.26749,1.27235
2017.06.26 00:00,1.2738,1.2759,1.27057,1.27213
2017.06.27 00:00,1.2721,1.28599,1.27157,1.28119
2017.06.28 00:00,1.28122,1.29715,1.27933,1.29279
2017.06.29 00:00,1.29277,1.3015,1.29277,1.30033
2017.06.30 00:00,1.30039,1.30294,1.29462,1.30234
2017.07.03 00:00,1.3017,1.30236,1.29314,1.29374
2017.07.04 00:00,1.29373,1.29582,1.29116,1.29226
2017.07.05 00:00,1.29226,1.29473,1.28928,1.29357
2017.07.06 00:00,1.29356,1.2983,1.29194,1.29695
2017.07.07 00:00,1.29698,1.2974,1.2866,1.28878
2017.07.10 00:00,1.28849,1.29074,1.2854,1.288
2017.07.11 00:00,1.28796,1.2927,1.28303,1.28465
2017.07.12 00:00,1.28465,1.29065,1.2811,1.2891
2017.07.13 00:00,1.2891,1.29544,1.28873,1.29405
2017.07.14 00:00,1.29403,1.31126,1.29348,1.31078
2017.07.17 00:00,1.31087,1.3112,1.3046,1.30553
2017.07.18 00:00,1.30558,1.31252,1.30045,1.3041
2017.07.19 00:00,1.3041,1.3052,1.30098,1.30225
2017.07.20 00:00,1.30225,1.3032,1.29325,1.2974
2017.07.21 00:00,1.29735,1.3019,1.2953,1.29945
2017.07.24 00:00,1.29945,1.30575,1.2988,1.30253
2017.07.25 00:00,1.3025,1.3083,1.3007,1.30286
2017.07.26 00:00,1.30287,1.31265,1.29988,1.31188
2017.07.27 00:00,1.31188,1.31582,1.30513,1.30648
2017.07.28 00:00,1.3065,1.31513,1.30613,1.31475
2017.07.31 00:00,1.3132,1.32237,1.30965,1.32073
2017.08.01 00:00,1.32073,1.32443,1.319,1.3208
2017.08.02 00:00,1.32076,1.32508,1.31908,1.3225
2017.08.03 00:00,1.3225,1.32668,1.31118,1.3137
2017.08.04 00:00,1.31368,1.31638,1.3023,1.3045
2017.08.07 00:00,1.3042,1.30585,1.3013,1.30348
2017.08.08 00:00,1.3035,1.3053,1.29519,1.29908
2017.08.09 00:00,1.29905,1.30278,1.29675,1.30065
2017.08.10 00:00,1.30063,1.30148,1.29505,1.29755
2017.08.11 00:00,1.29753,1.3031,1.2939,1.30143
2017.08.14 00:00,1.3009,1.30213,1.2956,1.29608
2017.08.15 00:00,1.29608,1.29695,1.28455,1.28698
2017.08.16 00:00,1.28695,1.29028,1.28405,1.28891
2017.08.17 00:00,1.28889,1.29083,1.2852,1.2867
2017.08.18 00:00,1.2867,1.29165,1.28315,1.28753
2017.08.21 00:00,1.2869,1.2916,1.28495,1.2898
2017.08.22 00:00,1.2898,1.2908,1.28105,1.2822
2017.08.23 00:00,1.28218,1.2833,1.2779,1.28005
2017.08.24 00:00,1.28003,1.2836,1.27733,1.28008
