EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
128628655,GB / Ayr 5th Dec,2m3f Hcap Hrd,05-12-2016 12:40,9343500,Massinis Lady,0,11.091363306708807,12.4673655220634318918254829640626664602,27.2190810234536154431116004333571883216,70,9.8,1000,1.51,209.94,27643.2,27826.34
128628655,GB / Ayr 5th Dec,2m3f Hcap Hrd,05-12-2016 12:40,7596750,Arantes,0,12.5,12.58942169283286188214591953261908094,11.9730507297702989296938137976433238815,14.5,11,1000,5.8,734.46,17348.7,4526.24
128628655,GB / Ayr 5th Dec,2m3f Hcap Hrd,05-12-2016 12:40,9375179,Daytripper,1,3.05,2.93320443062682215818060336532104307166,4.07927156680479237056513943438176135166,4.5,2.64,3.7,1.01,5153.74,319441.18,159036.04
128628660,GB / Ayr 5th Dec,2m3f Hcap Hrd,05-12-2016 13:15,4650690,Momkinzain,0,32.2881382802819,28.3825967666498609072503196739119354824,10.9079260449697752035430328516898110408,36,12,1000,20,391.46,9964.52,2866.72
128628660,GB / Ayr 5th Dec,2m3f Hcap Hrd,05-12-2016 13:15,10677545,Pretty Miss Mahler,0,8.636667526640228,10.0844055926515584417304433925990472202,9.45840689208687087479239905698422569019,11,8.6,1000,1.34,852.98,39924.06,41520.58
128628665,GB / Ayr 5th Dec,2m2f Hcap Chs,05-12-2016 13:45,7146159,Spanish Fleet,0,3.25,3.00786047277995506063823689350748023941,2.87306673084698392243042451045832483278,3.35,2.5,17.5,1.15,9239.02,371817.22,91683.9
128628675,GB / Ayr 5th Dec,2m5f Nov Hcap Chs,05-12-2016 14:50,10519072,Egret,0,13.197818229518603,14.3213107823794531160828713736722788613,20.0851340180431805386737750796884124106,34.96,11,1000,2,319.38,38899.02,48699.98
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,38127,Witness Time,0,18.584951644,14.3175254596778684322228177827417164629,12.2343390644397697655202591882199267775,19,10.5,1000,8,116.94,23056.48,3025.08
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,11132276,Devils Water,0,179.20344136055562,95.6193422355888000697430467810189915098,59.584065203214194397281092619246669597,170,34,1000,50,1.74,4182.62,732.94
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,12151028,Innisfree Lad,0,24,20.9744441829246496229939705464931309379,24.8467129567069518110711838979205745611,32,14.5,1000,28,34.8,14068.14,918.88
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,12190568,Sunny Destination,0,110,99.4103866606136954987952022084828769157,47.9040173925815762199531449763582655032,160,60,300,4.9,4,3125.88,3914.46
128628063,GB / Ling 5th Dec,1m2f Hcap,05-12-2016 13:55,9147797,Van Huysen,1,15.5,14.9911236334284018070075940850437713642,21.5758700207416344497411968672351671273,36.09,11.5,48,1.01,400.6,29864.28,69451.58
128628063,GB / Ling 5th Dec,1m2f Hcap,05-12-2016 13:55,8853548,Purple Rock,0,5.771165876899066,7.8657038838781576776355216340153159301,11.6716813915008061404063680210157191633,12.63,5.9,1000,4.1,962.32,69672.7,13756.2
128628043,GB / Ling 5th Dec,1m2f Mdn Stks,05-12-2016 11:50,5483410,Naseem,0,8.776788114,6.34267167950533061898333301669693746969,3.623530618169147433729164136365601129,8.4,2.94,1000,1.92,11238.94,63497.54,11171.32
128628043,GB / Ling 5th Dec,1m2f Mdn Stks,05-12-2016 11:50,11728514,The Blues Master,0,14.794308288739993,17.9011633607209533081586213062326895215,22.5819229347304596729735678435665784561,48,13,980,11,731.3,15866.18,892.58
128628048,GB / Ling 5th Dec,5f Hcap,05-12-2016 12:20,8665848,Dusty Blue,0,14.553753725730203,15.399831030249456948571224691639201564,20.2379970202434709498487025581682148825,25,14,1000,16,248.66,15673.1,395.22
128628068,GB / Ling 5th Dec,5f Hcap,05-12-2016 14:30,9515257,Sign of The Kodiac,0,21.982517708,21.4712563629805514831451053694107851134,18.2431558100536001904001315324463870208,30,15.5,1000,70,664.72,18831.3,741.82
