time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-13T04:50:14.550Z,17.9526,-67.113,10,3.13,md,20,244,0.0539,0.07,pr,pr2021225002,2021-08-13T05:31:01.852Z,"7 km WSW of La Parguera, Puerto Rico",earthquake,0.55,0.24,0.18,9,reviewed,pr,pr
2021-08-13T03:49:17.420Z,17.9208,-66.9068,12,2.52,md,10,225,0.1458,0.12,pr,pr2021225001,2021-08-13T05:08:10.582Z,"5 km S of Guánica, Puerto Rico",earthquake,0.73,0.48,0.19,4,reviewed,pr,pr
2021-08-13T00:46:19.350Z,17.9551,-67.1241,9,3.36,md,23,237,0.0533,0.19,pr,pr2021225000,2021-08-13T01:37:46.040Z,"6 km ESE of Pole Ojea, Puerto Rico",earthquake,0.68,0.59,0.26,21,reviewed,pr,pr
2021-08-12T23:58:35.140Z,17.9336,-67.1165,9,2.64,md,8,247,0.0731,0.5,pr,pr2021224006,2021-08-13T00:39:17.620Z,"8 km ESE of Pole Ojea, Puerto Rico",earthquake,1.87,1.21,0.1,7,reviewed,pr,pr
2021-08-12T23:33:55.420Z,18.4166,-66.0701,118,3.05,md,9,180,0.4526,0.3,pr,pr2021224005,2021-08-13T01:05:42.614Z,"5 km ESE of Cataño, Puerto Rico",earthquake,2.85,1.54,0.1,7,reviewed,pr,pr
2021-08-12T23:17:17.600Z,17.9296,-67.0945,10,3.31,md,21,240,0.0641,0.16,pr,pr2021224004,2021-08-13T05:16:36.040Z,"7 km SW of La Parguera, Puerto Rico",earthquake,0.73,0.37,0.13,19,reviewed,pr,pr
2021-08-12T22:50:21.920Z,17.948,-67.1005,11,3.34,md,23,237,0.0591,0.16,pr,pr2021224003,2021-08-12T23:15:17.040Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.68,0.32,0.14,21,reviewed,pr,pr
2021-08-11T13:14:48.580Z,19.1305,-65.249,37,3.33,md,6,301,0.8237,0.23,pr,pr2021223003,2021-08-11T13:36:08.787Z,"91 km N of Culebra, Puerto Rico",earthquake,2.53,13.88,0.08,4,reviewed,pr,pr
2021-08-11T05:28:28.040Z,18.2425,-63.9496,159,4.18,md,11,348,1.3345,0.26,pr,pr2021223002,2021-08-11T07:02:03.040Z,"89 km E of Cruz Bay, U.S. Virgin Islands",earthquake,5.75,3.09,0.09,5,reviewed,pr,pr
2021-08-11T02:49:47.350Z,17.918,-66.8991,13,2.52,md,12,217,0.154,0.15,pr,pr2021223000,2021-08-11T03:31:43.525Z,"6 km S of Guánica, Puerto Rico",earthquake,0.8,0.39,0.06,5,reviewed,pr,pr
2021-08-11T02:43:13.480Z,17.9393,-66.8901,10,3.32,md,23,195,0.157,0.17,pr,pr2021223001,2021-08-12T02:00:30.370Z,"4 km SSE of Guánica, Puerto Rico",earthquake,0.6,0.78,0.13,22,reviewed,pr,pr
2021-08-10T21:36:48.950Z,18.2521,-67.7625,2,3.29,md,18,155,0.3127,0.69,pr,pr2021222007,2021-08-10T23:19:51.451Z,"55 km W of Stella, Puerto Rico",earthquake,2,1.43,0.12,17,reviewed,pr,pr
2021-08-10T19:00:25.980Z,18.0315,-66.8368,11,2.59,md,8,166,0.2165,0.21,pr,pr2021222006,2021-08-12T11:11:43.610Z,"1 km ESE of Yauco, Puerto Rico",earthquake,0.74,1.45,0.17,5,reviewed,pr,pr
2021-08-10T11:32:43.560Z,18.0058,-66.5255,6,2.85,md,13,164,0.0875,0.2,pr,pr2021222005,2021-08-10T11:57:47.502Z,"1 km SE of Capitanejo, Puerto Rico",earthquake,0.5,0.39,0.12,5,reviewed,pr,pr
2021-08-10T08:48:31.170Z,17.9415,-67.102,10,2.52,md,8,248,0.0642,0.07,pr,pr2021222003,2021-08-10T09:01:45.980Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.84,0.33,0.05,3,reviewed,pr,pr
2021-08-10T07:48:18.520Z,17.9438,-66.9383,11,2.93,md,14,213,0.109,0.1,pr,pr2021222002,2021-08-10T08:18:30.849Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.47,0.34,0.14,10,reviewed,pr,pr
2021-08-10T06:23:45.870Z,17.9388,-66.939,11,3.07,md,22,206,0.1096,0.14,pr,pr2021222001,2021-08-10T06:41:12.830Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.63,0.4,0.2,15,reviewed,pr,pr
2021-08-09T22:44:46.620Z,18.4831,-67.5053,19,3.22,md,16,293,0.1021,0.09,pr,pr2021221008,2021-08-09T23:22:50.867Z,"31 km WNW of Rincón, Puerto Rico",earthquake,0.9,0.35,0.1,14,reviewed,pr,pr
2021-08-09T21:48:14.800Z,17.952,-66.8341,11,3.13,md,21,196,0.2108,0.23,pr,pr2021221007,2021-08-09T22:00:16.241Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.72,0.56,0.18,17,reviewed,pr,pr
2021-08-09T19:39:36.970Z,17.98,-67.1511,6,3.13,md,14,229,0.0492,0.06,pr,pr2021221005,2021-08-09T20:17:07.353Z,"3 km E of Pole Ojea, Puerto Rico",earthquake,0.51,0.2,0.2,8,reviewed,pr,pr
2021-08-09T06:35:44.050Z,18.795,-64.8285,37,3.39,md,17,322,0.6662,0.13,pr,pr2021221003,2021-08-09T07:16:28.642Z,"51 km NNE of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.44,4.019,0.1,3,reviewed,pr,pr
2021-08-09T04:22:57.070Z,17.9135,-66.9175,9,2.97,md,21,221,0.1385,0.14,pr,pr2021221002,2021-08-11T05:32:43.040Z,"6 km S of Guánica, Puerto Rico",earthquake,0.44,0.7,0.34,11,reviewed,pr,pr
2021-08-08T21:35:24.740Z,17.9813,-66.8361,15,2.88,md,22,176,0.2085,0.21,pr,pr2021220003,2021-08-08T22:31:51.677Z,"2 km SW of Indios, Puerto Rico",earthquake,0.44,0.48,0.2,17,reviewed,pr,pr
2021-08-08T16:54:33.640Z,17.9888,-66.748,13,2.73,md,23,169,0.1517,0.16,pr,pr2021220002,2021-08-08T17:24:02.157Z,"3 km WSW of Tallaboa, Puerto Rico",earthquake,0.5,0.3,0.36,17,reviewed,pr,pr
2021-08-08T05:17:57.270Z,17.9171,-66.9468,8,2.69,md,10,232,0.1106,0.12,pr,pr2021220001,2021-08-08T05:50:20.347Z,"7 km SW of Guánica, Puerto Rico",earthquake,0.67,0.86,0.18,4,reviewed,pr,pr
2021-08-08T03:48:38.670Z,17.962,-66.9325,9,2.83,md,19,189,0.112,0.17,pr,pr2021220000,2021-08-08T04:31:36.129Z,"2 km WSW of Guánica, Puerto Rico",earthquake,0.48,0.77,0.36,4,reviewed,pr,pr
2021-08-07T19:41:51.130Z,17.9308,-66.9195,13,2.62,md,16,210,0.1306,0.26,pr,pr2021219007,2021-08-07T21:03:04.238Z,"4 km SSW of Guánica, Puerto Rico",earthquake,0.9,0.45,0.21,16,reviewed,pr,pr
2021-08-07T15:31:45.280Z,17.9668,-66.9836,5,2.61,md,17,195,0.0607,0.14,pr,pr2021219006,2021-08-07T16:20:38.567Z,"6 km E of La Parguera, Puerto Rico",earthquake,0.51,0.28,0.25,6,reviewed,pr,pr
2021-08-07T04:47:03.060Z,17.8965,-66.8673,13,3.02,md,20,228,0.1914,0.1,pr,pr2021219001,2021-08-07T05:34:21.983Z,"9 km SSE of Maria Antonia, Puerto Rico",earthquake,0.69,0.41,0.23,10,reviewed,pr,pr
2021-08-07T04:04:46.270Z,17.9795,-66.9066,9,2.67,md,20,176,0.138,0.1,pr,pr2021219000,2021-08-07T04:37:52.149Z,"0 km N of Guánica, Puerto Rico",earthquake,0.28,0.42,0.26,8,reviewed,pr,pr
2021-08-06T20:47:35.890Z,17.9415,-67.0303,6,2.99,md,18,228,0.0312,0.25,pr,pr2021218010,2021-08-06T21:06:17.425Z,"4 km SSE of La Parguera, Puerto Rico",earthquake,0.83,0.34,0.33,16,reviewed,pr,pr
2021-08-06T18:09:09.570Z,17.9863,-66.9511,10,2.88,md,14,169,0.0946,0.16,pr,pr2021218009,2021-08-06T18:38:04.766Z,"3 km W of Fuig, Puerto Rico",earthquake,0.49,0.58,0.26,8,reviewed,pr,pr
2021-08-06T15:30:06.380Z,18.1691,-67.3001,20,3.07,md,16,193,0.1625,0.16,pr,pr2021218008,2021-08-06T16:17:43.402Z,"15 km NW of Puerto Real, Puerto Rico",earthquake,0.66,1.27,0.2,12,reviewed,pr,pr
2021-08-06T09:18:30.570Z,19.1483,-67.7433,48,3.3,md,16,249,0.8082,0.34,pr,pr2021218005,2021-08-06T10:05:44.170Z,"93 km NE of Punta Cana, Dominican Republic",earthquake,2.48,8.24,0.04,2,reviewed,pr,pr
2021-08-06T08:52:28.920Z,17.9256,-66.9013,13,2.56,md,10,221,0.1495,0.07,pr,pr2021218004,2021-08-06T09:12:28.295Z,"Puerto Rico region",earthquake,0.64,0.39,0.27,2,reviewed,pr,pr
2021-08-06T06:56:55.050Z,17.8731,-66.855,13,2.86,md,21,240,0.2123,0.19,pr,pr2021218003,2021-08-06T07:21:33.813Z,"12 km SSE of Maria Antonia, Puerto Rico",earthquake,0.88,0.46,0.07,7,reviewed,pr,pr
2021-08-06T03:29:37.250Z,17.9358,-67.074,12,2.76,md,15,259,0.0449,0.06,pr,pr2021218000,2021-08-06T04:08:11.161Z,"5 km SW of La Parguera, Puerto Rico",earthquake,0.48,0.15,0.33,8,reviewed,pr,pr
2021-08-06T03:18:35.230Z,17.947,-67.0708,12,3.08,md,21,235,0.0348,0.1,pr,pr2021218001,2021-08-06T04:30:13.440Z,"4 km SW of La Parguera, Puerto Rico",earthquake,0.67,0.2,0.37,7,reviewed,pr,pr
2021-08-05T23:25:16.990Z,17.9491666666667,-67.0956666666667,12.33,2.67,md,14,243,,0.27,pr,pr71241858,2021-08-06T00:27:18.630Z,"5 km WSW of La Parguera, Puerto Rico",earthquake,1.01,0.37,0.106563741708108,15,reviewed,pr,pr
2021-08-05T23:08:00.310Z,17.962,-67.0895,11.89,3.21,md,16,233,,0.17,pr,pr71241848,2021-08-06T00:05:04.430Z,"4 km WSW of La Parguera, Puerto Rico",earthquake,0.63,0.25,0.239196667788896,19,reviewed,pr,pr
2021-08-05T19:45:07.750Z,18.3611666666667,-68.3391666666667,58.42,3.77,md,20,165,,0.61,pr,pr71241823,2021-08-05T20:28:07.160Z,"25 km SSE of Punta Cana, Dominican Republic",earthquake,5.29,2.57,0.161379209850001,11,reviewed,pr,pr
2021-08-05T11:38:48.570Z,18.6481666666667,-68.6726666666667,65.92,3.32,md,8,197,,0.33,pr,pr71241743,2021-08-05T15:51:20.330Z,"1 km WSW of Otra Banda, Dominican Republic",earthquake,5.91,1.16,0.151166057203494,6,reviewed,pr,pr
2021-08-05T08:10:29.160Z,17.9605,-67.1008,12,2.98,md,19,241,0.0467,0.14,pr,pr2021217008,2021-08-05T08:32:50.434Z,"5 km WSW of La Parguera, Puerto Rico",earthquake,0.74,0.31,0.32,8,reviewed,pr,pr
