time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-29T11:52:22.367Z,-18.1116,-174.7078,164.85,4.3,mb,,143,5.037,0.82,us,us7000gakl,2022-01-13T06:57:50.040Z,"96 km NW of Neiafu, Tonga",earthquake,8.6,9.3,0.153,15,reviewed,us,us
2021-12-28T17:34:33.914Z,-18.1278,-178.3388,576.47,4.6,mb,,62,3.456,1.02,us,us6000gfwa,2021-12-28T18:25:18.040Z,"248 km E of Levuka, Fiji",earthquake,11.2,2.9,0.031,315,reviewed,us,us
2021-12-28T14:08:43.110Z,-18.5794,-173.612,28.98,4.8,mb,,124,4.965,0.72,us,us7000g9yg,2022-01-09T21:15:13.040Z,"40 km ENE of Neiafu, Tonga",earthquake,12,6.5,0.154,18,reviewed,us,us
2021-12-28T13:41:58.495Z,-17.1231,-175.83,10,4.5,mb,,121,5.043,0.64,us,us7000g9yk,2022-01-09T20:57:52.040Z,"252 km WSW of Hihifo, Tonga",earthquake,7.2,1.9,0.191,10,reviewed,us,us
2021-12-27T21:29:14.620Z,-22.687,169.9268,10,4.2,mb,,174,2.292,0.67,us,us7000g9xc,2022-01-12T05:03:32.040Z,"245 km ESE of Tadine, New Caledonia",earthquake,7.4,2,0.264,5,reviewed,us,us
2021-12-27T19:44:55.053Z,-22.5398,170.0451,10,4.7,mb,,116,2.402,1.14,us,us6000gfnx,2022-01-07T23:10:56.040Z,"249 km ESE of Tadine, New Caledonia",earthquake,7.7,1.9,0.102,32,reviewed,us,us
2021-12-27T11:34:12.767Z,-21.4432,-173.9028,10,5.4,mww,,40,7.76,1.39,us,us6000gfli,2021-12-29T04:53:51.040Z,"109 km E of ‘Ohonua, Tonga",earthquake,8.8,1.8,0.089,12,reviewed,us,us
2021-12-27T03:47:16.117Z,-30.3909,-177.1597,10,4.6,mb,,123,1.304,0.55,us,us7000g9wq,2022-01-12T04:23:18.040Z,"Kermadec Islands, New Zealand",earthquake,9.7,1.9,0.207,10,reviewed,us,us
2021-12-26T23:45:20.017Z,-21.7826,-179.3898,584.97,4.9,mb,,27,4.683,0.62,us,us6000gfix,2022-01-10T05:17:46.040Z,"Fiji region",earthquake,7.5,5.8,0.034,279,reviewed,us,us
2021-12-26T18:44:41.465Z,-17.835,-178.5128,551.58,4.5,mb,,97,7.56,1.05,us,us6000gfhp,2021-12-26T19:27:42.040Z,"231 km E of Levuka, Fiji",earthquake,14,6.3,0.104,27,reviewed,us,us
