Pgroup;Lp;PKod;Pname;p_sale_in_time;Psale;Pavarage_stock;Rotation_in_days;Rotation_in_times
ART._HYGIENIC;;;;;;;;
 ;1;8859;DOMESTOS 750 ML LIME ZERO;0,005347594;2,00;0,00;0;
 ;1;5727;DOMESTOS ZIELONY 750 ML;0,005347594;2,00;0,00;0;
 ;1;9218;DRUCIAK 1 SZT;0,021390374;8,00;0,00;0;
 ;1;9045;DRUCIAK SPIRALNY;0,032085561;12,00;0,00;0;
 ;1;9575;E DO PLUKANIA 0,9 L;0,016042781;6,00;0,00;0;
 ;1;8188;E DO PLUKANIA 1,8 L KONC;0,016042781;6,00;0,00;0;
 ;1;8187;E DO PLUKANIA 2 L KONC;0,016042781;6,00;0,00;0;
 ;1;3579;E PLYN DO PLUKANIA 1 L;0,016042781;6,00;0,00;0;
 ;1;9932;E PROSZEK 1,4 KG;0,005347594;2,00;0,00;0;
 ;1;9573;E PROSZEK 4,9 KG;0,005347594;2,00;0,00;0;
 ;1;9931;E ZEL DO PRANIA COLOR 1 L;0,005347594;2,00;0,00;0;
 ;1;8848;EVA MYDLO W PLYNIE 500 ML Z DOZOWNIKIEM;0,024064171;9,00;0,00;0;
 ;1;8181;EVA MYDLO W PLYNIE Z DOZOW 500 ML;0,002673797;1,00;0,00;0;
 ;1;8182;EVA MYDLO W PLYNIE Z DOZOW 500 ML;0,002673797;1,00;0,00;0;
 ;1;5571;EVA SIMPLA ZEL DO MYCIA 500 ML;0,002673797;1,00;0,00;0;
 ;1;8028;EVA SIMPLE 500 ML SZAMPON Z JEDWABIEM;0,005347594;2,00;0,00;0;
 ;1;8026;EVA SIMPLE 500 ML Z OWSEM;0,002673797;1,00;0,00;0;
 ;1;8029;EVA SIMPLE SZAMPON 500 ML Z JEMIO?A;0,002673797;1,00;0,00;0;
 ;1;8027;EVA SIMPLE SZAMPON 500 ML Z LANOLINA;0,002673797;1,00;0,00;0;
