SAPOBJECTID;CLASS;WASTE_COL_TYPE;WASTE_COL_MATERIAL;NUMBER_OF_WASTE_BINS;SLAB;FINISH;PHOTO_LEGACY;GIS_STARTUP_DATE;CUSTODIAN;GIS_DESCRIPTION;SORT_FIELD;CREATED_DATE;LAST_EDITED_DATE;POINT_X;POINT_Y
6000079051;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/60/f317p25.jpg;28/10/2010;51000811;WASTE COLLECTION POINT;WACO12229;23/05/2014;25/05/2014;55.017.884.860.000.000;688.509.332.020.000.000
6000079361;WASTE_COL_POINT;STANDARD LITTER BIN;STEEL;100.000.000.000;Y;POWDERCOATED;https://msvnmap1/Asset_Photos/_legacy/62/A225p68.jpg;03/12/2010;51000811;WASTE COLLECTION POINT;WACO12623;23/05/2014;25/05/2014;54.276.660.970.000.000;689.927.858.290.000.000
6000079373;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/62/j328p20.jpg;10/11/2010;51000811;WASTE COLLECTION POINT;WACO12641;23/05/2014;25/05/2014;54.581.395.210.000.000;688.622.131.070.000.000
6000079417;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/d52p17.jpg;15/01/2002;51000811;WASTE COLLECTION POINT;WACO127;23/05/2014;24/09/2014;54.057.858.310.000.000;690.714.035.260.000.000
6000079399;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;Y;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/62/x369p13.jpg;17/11/2010;51000811;WASTE COLLECTION POINT;WACO12700;23/05/2014;25/05/2014;54.094.982.750.000.000;690.232.773.220.000.000
6000079411;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/62/j342p12.jpg;15/12/2010;51000811;WASTE COLLECTION POINT;WACO12780;23/05/2014;25/05/2014;54.663.569.180.000.000;688.771.350.690.000.000
6000079442;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/62/j341p5.jpg;02/12/2010;51000811;WASTE COLLECTION POINT;WACO12803;23/05/2014;25/05/2014;53.815.910.400.000.000;690.346.555.060.000.000
6000079483;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/c150p13.jpg;02/06/2003;51000811;WASTE COLLECTION POINT;WACO1284;23/05/2014;28/01/2015;53.187.187.860.000.000;690.466.613.630.000.000
6000101009;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;N;STAINED;https://msvnmap1/Asset_Photos/_legacy/63/x386p254.jpg;24/09/2010;51002358;WASTE COLLECTION POINT;WACO12994;23/05/2014;25/05/2014;54.238.680.610.000.000;690.266.750.310.000.000
6000101022;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;N;STAINED;https://msvnmap1/Asset_Photos/_legacy/63/j378p66.jpg;31/01/2011;51002358;WASTE COLLECTION POINT;WACO13040;23/05/2014;25/05/2014;54.241.001.810.000.000;690.245.691.590.000.000
