floorUSD,totalVolumeUSD,address,logo,marketplaces,name,chains,floor,owners,totalVolume,category,SK,PK,dailyVolumeUSD,dailyVolume,slug
4409,110032074,0xc92ceddfb8dd984a89fb494c376f9a48b999aafc,https://lh3.googleusercontent.com/PkMdNUr4UsEq5RLvAm721Ja5QGAijunAVDMz0hfRuyHQn853TRQzKL4aTFBgWPoy-nWlYA3hXzAm7flCmKn7Z9p2HN0GJxAtAixB4g=s120,['opensea'],Creature World,['ethereum'],1.25,6083,31197.60290584716,collections,overview,collection#creatureworld,367001,104.05639889999999,creatureworld
9946,101869096,0xe785e82358879f061bc3dcac6f0444462d4b5330,https://lh3.googleusercontent.com/v7X-5H1gzCXf-BiSigKoidS-QHR0l_73NUCPm0dbgZQvU1nQsh8wmNSNm3rJV29wIMehtxfcH0s6co9H7gGWnCfWf3Qi5sJNbibcuw=s120,['opensea'],World of Women,['ethereum'],2.82,4713,28883.138433064312,collections,overview,collection#world-of-women-nft,2617940,742.2695387999906,world-of-women-nft
1054,97334439,0x4b3406a41399c7fd2ba65cbc93697ad9e7ea61e5,https://lh3.googleusercontent.com/cGKkMxKQ-7J0A4mZvcPqr2LKvGqIVsXjzGqpfxRNb4yVr-zTycPJ0kznkwKqDyUTg--A32oW8cI32BQBl6hrbM-frn1__o544ECpCg=s120,['opensea'],LOSTPOETS,['ethereum'],0.29887914,8451,27597.41840449343,collections,overview,collection#lostpoets,83686,23.7277,lostpoets
0,96822704,0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d,https://lh3.googleusercontent.com/_BYA3bhx1ebgDr3QsuQuh2OMSznmS_TkwJhikCtCVMh4RUcpn2gnJmmOHHA28gy0mKP50flV31iXsDBUr_zjBaXNJA=s120,['opensea'],Axie Infinity,['ethereum'],0.0,45276,27452.32520582728,collections,overview,collection#axie,0,0.0,axie
88,96030483,0x82c7a8f707110f5fbb16184a5933e9f78a34c6ab,https://lh3.googleusercontent.com/VkSY4QiLanH0h2oS37cjRAENLDLBqLKUX3YC4ZvdEW60zI9OXoRl4E9uR1x3d8hU8ekFai4Ruwq4FObZ0VH2NpU=s120,['opensea'],Emblem Vault [Ethereum],['ethereum'],0.025,4699,27227.705255007237,collections,overview,collection#emblem-vault,401541,113.8497,emblem-vault
3,95898003,0x273f7f8e6489682df756151f5525576e322d51a3,https://lh3.googleusercontent.com/EjR3eM1lBxgVk6F3PdOU1xaF-aVQfK3aTj29kKsbkDYFJrMC1tBf0k5lYjVfd6FYIPAr-rC3e79WPZmqEkrSv10o=s60,['opensea'],MyCryptoHeroes,['ethereum'],0.0008,4606,27190.14304665674,collections,overview,collection#mycryptoheroes,13,0.0036,mycryptoheroes
2998,92976731,0x913ae503153d9a335398d0785ba60a2d63ddb4e2,https://lh3.googleusercontent.com/mzUNo5vk95qQfpAbXir0_6oJmZlyqnq_ix3BIjmfeVGrFPoxeAqf-vYHMvh115bSdJGxRtgGTWKldOzdJQGtEqGW=s120,['opensea'],Somnium Space VR,['ethereum'],0.85,4403,26361.869112658624,collections,overview,collection#somnium-space,46344,13.14,somnium-space
37915,91977993,0x348fc118bcc65a92dc033a951af153d14d945312,https://lh3.googleusercontent.com/xOw5gYzZzkm83sL8ObO_wv-adMrsw5w9TkPjrJLT3c2dbGIS8DR_Qm_hsth7esBM2l3q_FOmlqzO0dR4BFquFEX5wSx-Suc82669=s120,['opensea'],RTFKT - CloneX Mintvial,['ethereum'],10.75,723,26078.695068712354,collections,overview,collection#clonex-mintvial,119387,33.85,clonex-mintvial
7403,90810374,0xf4ee95274741437636e748ddac70818b4ed7d043,https://lh3.googleusercontent.com/uNkBbVvg7wyRjspsooFtYYbRHFHFISntxwijLRskjGhplP8A3Iz_4ApLU_yLp9BW-Ai0yUWC50A138IGUkII55QWRT7g12qmSRTlbA=s120,['opensea'],The Doge Pound,['ethereum'],2.099,5574,25747.63793779828,collections,overview,collection#the-doge-pound,271585,77.00300000000001,the-doge-pound
0,82256363,0xc36cf0cfcb5d905b8b513860db0cfe63f6cf9f5c,https://lh3.googleusercontent.com/wp7V1K4Ezhi8yHU6LFpff-GMsjend65nRiwNz5pGAjCwk7ybznEpfUvXiIxQoOWBmeN00AGjVTRhLUqY4fee1fus=s120,['opensea'],Town Star,['ethereum'],0.00010654,35042,23322.302821574194,collections,overview,collection#town-star,944439,267.7785881042,town-star
