Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt,% Low movt,Yearly Gainner,27th Dec,1st Feb,1st March,1st April,TB,RH,Corr,PeRatio,New Pe,W52_High,Corre,latest,Annual_Pat,Cum PAT 3 Quarter,Pat Jump,Annual Growth,Year End,Mar_17_ReportedPAT,Dec_16_ReportedPAT,Sep_16_ReportedPAT,Jun_16_ReportedPAT,Mar_16_ReportedPAT,Dec_15_ReportedPAT,Y oY PAT,LQ>0.5(4q's),PAT Growth,PeRatio,ResultDate,Mar_17_Inst_no_of_shares,Dec_16_Inst_no_of_shares,Int/ Incr/ Decr,Pledge,DividendYield,DERatio,FB,Mar_17_Eps_Before,Dec_16_Eps_Before,Sep_16_Eps_Before,Jun_16_Eps_Before,Mar_16_Eps_Before,Dec_15_Eps_Before,Annual_Eps,Volume,MarketCap,Annual_Pat,EquityCapital,FaceValue,New Listing,PE High Price High,Future,Cap Category
MAHINDCIE,,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,246.5,-1.14,248.4,242.4,,,11%,41%,30%,23%,16%,,257,,175.84,,257,,,46.1241,,,,,16.6392,10.935,14.0462,11.2999,15.2791,4.9668,,,,175.84,42852,137,143,,0,0,0.42,,0.44,0.29,0.42,0.35,0.47,0.15,0,2.186450601,9321,46.1241,378.0883,10,,,,
MAHLIFE,,REALTY,#N/A,#N/A,468.25,-1.1,473,462.1,,,-5%,35%,33%,36%,21%,,492.8,,23.42,,492.8,,,97.11,,,,,7.16,13.25,22.46,18.49,47.71,9.34,,,,23.42,42853,140,137,,0,1.28,0.96,,4.24,8.53,7.8,4.24,11.81,1.88,22.61,2.501690793,2403,97.11,41.04,10,,,,
MAHSCOOTER,,AUTO-AUTOMOBILES AND AUTO PARTS,NA,#REF!,2009.7,1.06,2050,2009,,,55%,34%,22%,18%,7%,,2105,,38.73,,2170,,,101,,,,,,1.03,8.9,1.36,47.95,1.84,,,,38.73,42871,38,35,,0,1.49,0,,#REF!,0.89,7.79,1.19,41.95,1.61,88.37,0.526103184,2297,101,11.43,10,,,,
MAHSEAMLES,,METALS AND MINING,#N/A,#N/A,345.7,-1.65,345.7,334.85,,,150%,53%,28%,1%,-1%,,368.9,,16.05,,368.9,,,-14.36,,,,,,43.65,38.82,23.9,38.29,4.95,,,,16.05,42776,49,44,,0,0.72,0.43,,#REF!,6.51,5.79,3.57,5.71,0.74,1.32,2.919877911,2316,-14.36,33.5,5,,,,
MAITHANALL,,METALS AND MINING,#REF!,#REF!,484.85,-0.11,498.8,480.5,,,306%,81%,31%,12%,15%,,524,,7.17,,543.75,,,78.7858,,,,,102.4059,68.1983,8.7997,18.2832,46.3316,11.837,,,,7.17,42864,5,4,,0,0,0.25,,35.18,23.43,3.02,6.28,15.91,4.07,27.08,2.912674055,1411,78.7858,29.1116,10,,,,
MAJESCO,,IT,#REF!,#REF!,364.6,3.39,388.9,365.5,,,-39%,-2%,1%,6%,10%,,410,,87.17,,601.95,,,7.31,,,,,3.63,6.95,7.11,1.71,-3.7,10.13,,,,87.17,42864,28,33,,2.66,0,0.33,,1.02,2.04,2.09,0.58,-0.86,2.92,2.8,2.56721871,852,7.31,11.67,5,,,,
MALUPAPER,,PAPER,#N/A,#N/A,33.9,#N/A,#N/A,#N/A,,,215%,46%,25%,30%,4%,,36.15,,16.63,,47.2,,,1.9531,,,,,,0.4651,0.9885,0.7932,1.252,1.0022,,,,16.63,42877,,,,74.47,0,6.8,,#REF!,0.27,0.58,0.46,0.73,0.59,1.14,0.061352188,58,1.9531,17.0593,10,,,,
MALWACOTT,,TEXTILES AND APPAREL,#N/A,#N/A,7.95,#N/A,#N/A,#N/A,,,,,,2%,-11%,,10.95,,0,,10.95,,,-23.34,,,,,,-11.16,-3.59,-13.57,-3.89,-4.32,,,,0,42791,8,8,,78.77,0,-0.81,,#REF!,-3.42,-1.17,-7.45,-2.35,-1.08,-13.4,0.004104792,6,-23.34,7.9,10,,,,
MANAKALUCO,,METALS AND MINING,#N/A,#N/A,6.3,#N/A,#N/A,#N/A,,,,26%,8%,-1%,0%,,9.3,,0,,9.3,,,-5.0371,,,,,,-1.86,-2.0584,-1.3981,-3.0427,-1.398,,,,0,42873,2,2,,0,0,0.85,,#REF!,-0.28,-0.31,-0.21,-0.46,-0.21,-0.77,0.014480483,42,-5.0371,6.5534,1,,,,
MANAKCOAT,,METALS AND MINING,#N/A,#N/A,9.9,9.6,10.85,10,,,226%,60%,37%,9%,-17%,,12.35,,24.19,,12.35,,,2.8811,,,,,,0.0115,-0.0026,0.5258,2.1825,0.8065,,,,24.19,42773,2,2,,0,0,0.5,,#REF!,0,0,0.08,0.33,0.12,0.44,0.026819732,65,2.8811,6.5534,1,,,,
MANAKINDST,,FMCG-PACKAGING,#N/A,#N/A,46,0,0,0,,,887%,268%,69%,47%,71%,,46.4,,10.93,,50,,,19.1245,,,,,6.2995,11.3781,2.8011,7.4004,14.2546,0.4955,,,,10.93,42839,2,2,,0,0,0.34,,0.96,1.74,0.43,1.13,2.18,0.08,2.92,0.105566843,304,19.1245,6.5534,1,,,,
MANAKSIA,,FMCG-PACKAGING,#N/A,#N/A,78.45,0.7,79.3,77.8,,,76%,58%,39%,12%,16%,,78,,4.64,,80,,,93.7349,,,,,,25.8163,36.8858,20.64,28.9857,16.7198,,,,4.64,42774,2,2,,0,2.54,0.1,,#REF!,3.82,5.58,3.15,4.37,2.55,14.23,0.296183419,514,93.7349,13.1068,2,,,,
MANAKSTEEL,,METALS AND MINING,#N/A,#N/A,18.9,-1.32,19.55,17.75,,,150%,120%,86%,36%,45%,,19.8,,20.6,,19.8,,,4.9782,,,,,,2.0158,2.9876,1.2514,-0.1784,0.025,,,,20.6,42874,2,2,,0,0,0.35,,#REF!,0.31,0.46,0.19,-0.03,0,0.76,0.050003312,125,4.9782,6.5534,1,,,,
MANALIPETC,Buy,CHEMICALS,crude oil,Down,43.4,1.15,44.65,43.3,0.027995521,0.002309469,63%,37%,20%,4%,9%,,49.4,12%,15.37,13,49.4,12%,,47.953,35.7244,-12.2286,,,,14.5364,10.3862,10.8018,12.7811,4.1365,Y,,Y,15.37,42871,33,33,0,0,1.15,0.01,,#REF!,0.85,0.6,0.63,0.74,0.24,2.79,2.282003108,746,47.953,86.0347,5,,,,MiniCap
MANAPPURAM,Buy,JEWELLERY,Gold,#REF!,96.95,-1.34,97.35,95.3,0.004108885,0.017313746,187%,65%,24%,0%,-1%,,106,9%,11.86,10.05705394,106.9,9%,,355.158,558.486,203.328,G,,,203.613,193.547,161.326,130.582,101.053,Y,,Y,11.86,42880,228,204,24,3.33,1.85,3.03,,#REF!,2.41,2.29,1.91,1.55,1.19,4.2,39.44381817,8163,355.158,168.322,2,,,,MidCap
MANDHANA,Exit,TEXTILES AND APPAREL,#REF!,#REF!,20.8,3.37,21.75,20.55,0.043678161,0.01216545,,-39%,-28%,-29%,7%,,31.55,34%,0,-0.324391765,326.95,94%,,57.13,-658.3894,-715.5194,,,,-53.1034,-193.3468,-411.9392,15.9349,24.2375,,,,0,42795,5,5,0,44.43,11.57,1.4,FB,#REF!,-16.03,-58.37,-124.36,4.81,7.32,17.25,1.707236374,69,57.13,33.1239,10,,,,MiniCap
MANGALAM,Exit,PHARMA,#REF!,#REF!,193.45,-2.95,194.45,186,0.00514271,0.040053763,-39%,52%,31%,25%,33%,,214.9,10%,12.9,12.33737245,229.7,16%,,16.0331,17.1361,1.103,G,,6.5608,6.1963,5.8373,5.1025,5.5345,3.7968,Y,,Y,12.9,42863,4,3,1,50.41,0,0.99,FB,4.14,3.92,3.69,3.22,3.5,2.4,10.13,1.260964777,306,16.0331,15.8282,10,,,,MiniCap
MANGCHEFER,Exit,CHEMICALS,#N/A,#N/A,77.55,#N/A,#N/A,#N/A,#N/A,#N/A,57%,85%,47%,56%,34%,,82,5%,102.85,30,82,5%,,-240.1209,14.7279,254.8488,G,,,7.7371,15.3516,-8.3608,-5.7889,-3.3122,Y,,Y,102.85,42873,324,323,1,53.48,0,3.88,FB,#REF!,0.65,1.3,-0.71,-0.49,-0.28,-3.39,0.333906761,919,-240.1209,118.5486,10,,,,MiniCap
MANGLMCEM,BWLV,CEMENTS,#REF!,#REF!,362.45,0.01,369,361.1,0.017750678,0.003738577,50%,48%,37%,19%,12%,,387.8,7%,20.43,41,391,7%,,-20.4746,33.1551,53.6297,G,,,5.8465,4.7225,22.5861,14.0991,-0.2051,Y,,Y,20.43,42868,15,22,-7,0,0.13,0.7,,#REF!,2.19,1.18,8.73,5.28,-0.07,-7.67,1.492639545,968,-20.4746,26.6938,10,,,,MiniCap
MANGTIMBER,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,30.65,#N/A,#N/A,#N/A,#N/A,#N/A,75%,11%,0%,-3%,7%,,34.5,11%,0,-5,39.35,22%,,-12.6476,-5.2584,7.3892,,,,-2.5885,-1.7424,-0.9275,-1.9729,-2.6387,,,,0,42773,10,10,0,0,0,-2.8,FB,#REF!,-1.41,-0.95,-0.51,-1.08,-1.44,-6.9,0.116362633,56,-12.6476,18.3274,10,,,,MiniCap
MANINDS,Exit,METALS AND MINING,#REF!,#REF!,57.5,-6.52,58.2,53.55,0.012027491,0.073762838,-24%,32%,22%,22%,24%,,56.8,-1%,6.86,28.75,66.7,14%,,83.29,21.31,-61.98,,,,2.69,9.3,9.32,26.2,18.58,,,,6.86,42779,24,23,1,59.78,2.6,0.47,FB,#REF!,0.5,1.7,1.57,4.59,3.25,14.59,1.194451739,328,83.29,28.55,5,,,,MiniCap
MANINFRA,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,57.7,3.29,59.95,57.1,0.037531276,0.010507881,25%,59%,43%,45%,23%,,62,7%,40.42,38,62,7%,,11.5528,33.6105,22.0577,G,,,9.0218,15.7812,8.8075,2.1123,7.2546,Y,,Y,40.42,42775,9,8,1,0,2.65,0.58,,#REF!,0.38,0.49,0.5,0.04,0.33,0.54,1.607807365,1428,11.5528,49.5001,2,,,,SmallCap
MANPASAND,RS,FMCG-BEVERAGES,#REF!,#REF!,707.55,-1.09,723.7,698.3,0.022315877,0.013246456,67%,37%,14%,-2%,0%,,758,7%,60.64,139,777,9%,,50.5615,41.2993,-9.2622,G,,,7.2381,5.4131,28.6481,25.5476,4.9185,Y,,Y,60.64,42769,68,72,-4,0,0.14,0,FB,#REF!,1.27,1.08,5.71,5.14,0.98,10.78,4.894670444,4048,50.5615,57.2162,10,,,,SmallCap
MANUGRAPH,HWLV,FINANCIAL SERVICES,#N/A,#N/A,60.8,0.08,62.7,60.25,0.03030303,0.009128631,23%,36%,23%,18%,10%,,68,11%,42.86,217,69.4,12%,,6.39,1.5,-4.89,,,,0.23,3.7,-2.43,2.85,2.42,,,,42.86,42775,5,7,-2,0,1.64,0.05,,#REF!,0.07,1.22,-0.8,0.8,0.8,3.23,0.435795398,185,6.39,6.08,2,,,,MiniCap
MARALOVER,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,46.25,2.27,48.4,46.8,0.044421488,-0.011752137,78%,71%,30%,24%,11%,,50.9,9%,12.89,13,50.9,9%,,10.2,11.58,1.38,,,3.37,4.32,4.07,3.19,3.15,0.81,Y,,Y,12.89,42852,13,13,0,48.03,0,2.55,,0.54,0.87,0.81,0.6,0.15,0.06,1.74,0.239382968,192,10.2,41.51,10,,,,MiniCap
MARATHON,NL,REALTY,#N/A,#N/A,326.3,#N/A,#N/A,#N/A,#N/A,#N/A,,74%,67%,51%,24%,,346,6%,10.31,9,348.7,6%,,,,,,,,25.1627,19.1427,,,,,,,10.31,42775,8,8,0,0,0.3,0,,#REF!,8.85,6.73,#REF!,#REF!,#REF!,#REF!,0.214807312,928,#REF!,28.4373,10,MARATHON,,,MiniCap
MARICO,Exit,FMCG,#N/A,#N/A,315.3,-0.67,319.9,312.9,0.014379494,0.007670182,24%,32%,23%,12%,7%,TB,328,4%,50.2,53,328,4%,,723.86,640.68,-83.18,G,,171.33,191.85,180.72,268.11,136.55,205.84,Y,,Y,50.2,42857,555,553,2,0,1.11,0.07,FB,1.31,1.49,1.4,2.08,1.06,1.6,5.62,30.28153232,40689,723.86,129.04,1,,,,LargeCap
MARKSANS,Exit,PHARMA,#REF!,#REF!,54.15,-2.77,54.85,52.2,0.012762078,0.037356322,6%,40%,47%,8%,15%,,58.25,7%,317.78,48,58.3,7%,,82.743,15.216,-67.527,,,,12.866,0.479,1.871,-3.953,18.655,Y,,Y,317.78,42772,60,75,-15,0,0.22,0.23,FB,#REF!,0.28,0.01,0.05,0,0.46,2.02,13.29434171,2216,82.743,40.931,1,,,,SmallCap
MARUTI,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,6737.75,0.33,6778.5,6711.1,0.006011654,0.003971033,64%,32%,14%,14%,12%,,6730,0%,27.71,29,6754,0%,,4630.9,5628.7,997.8,G,,1709,1744.5,2398,1486.2,1133.6,1183,Y,,Y,27.71,42852,1567,1536,31,0,1.11,0.01,,56.57,57.75,79.38,49.2,37.53,39.16,155.55,292.7561602,203534,4630.9,151,5,,,,LargeCap
MASTEK,Buy,IT,#REF!,#REF!,349.75,2.39,363,349.8,0.036501377,-0.000142939,30%,113%,90%,86%,93%,,331.7,-5%,22.08,19,352.65,1%,,13.74,22.46,8.72,G,,14.45,11.23,7.65,3.58,5.86,0.79,Y,,Y,22.08,42845,24,21,3,0,1,0,,5.94,4.63,3.16,1.48,2.38,0.32,5.62,7.495743831,818,13.74,11.65,5,,,,MiniCap
MAWANASUG,Buy,FMCG-SUGAR,Sugar,#REF!,91.85,-1.52,93.1,90.15,0.013426423,0.01885746,225%,113%,65%,20%,11%,,94.5,3%,0.85,0,96,4%,,0.8,363.96,363.16,G,,,363.02,-7.71,8.65,64.92,-9.03,Y,,Y,0.85,42780,41,46,-5,3.66,0,-0.76,,#REF!,92.8,-1.97,2.21,16.6,-2.31,0.2,3.864721843,359,0.8,39.12,10,,,,MiniCap
MAXINDIA,NL,FINANCIAL SERVICES,#REF!,#REF!,154.85,0.26,159.9,155.1,0.031582239,-0.001611863,,12%,11%,4%,3%,,164.4,6%,7449.52,-1290.416667,167.5,8%,,-98.5748,1.77,100.3448,,,,-0.55,2,0.32,-1.21,2.97,,,,7449.52,42779,169,170,-1,24.32,0,0.47,FB,#REF!,-0.03,0.07,0.01,-0.05,0.11,-3.03,2.630386927,4140,-98.5748,53.45,2,MAXINDIA,,,SmallCap
MAXVIL,NL,FINANCIAL SERVICES,#REF!,#REF!,98.85,-1.01,100.05,97.6,0.011994003,0.012807377,,61%,51%,21%,10%,,113.8,13%,0,-53.72282609,113.8,13%,,19.3868,0.0831,-19.3037,,,,-2.4358,0.4813,2.0376,2.3669,1.539,,,,0,42772,65,72,-7,0,0,1.24,FB,#REF!,-0.46,0.08,0.37,0,0.29,3.56,6.13173752,682,19.3868,53.454,10,MAXVIL,,,MiniCap
MAYURUNIQ,BWLV,TEXTILES AND APPAREL,#REF!,#REF!,397.35,-0.84,403.5,392.9,0.015241636,0.011326037,0%,17%,10%,9%,5%,TB,430,8%,21.41,24,464.8,15%,,77.1929,61.9952,-15.1977,G,,,18.6216,19.8366,23.537,23.456,19.8909,Y,,Y,21.41,42769,37,38,-1,0,0.88,0.06,,#REF!,4.06,4.28,5.09,5.07,4.3,15.99,0.498199769,1819,77.1929,22.8888,5,,,,SmallCap
MAZDA,NL,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,342.95,#N/A,#N/A,#N/A,#N/A,#N/A,,,1%,9%,8%,,364,6%,12.72,19,365.2,6%,,,8.3549,,,,,1.9615,4.6127,1.7807,,,,,,12.72,42770,1,4,-3,0,1.92,0.02,,#REF!,4.61,10.83,4.18,#REF!,#REF!,#REF!,0.086988316,146,#REF!,4.258,10,MAZDA,,,MiniCap
MBECL,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,46.95,#N/A,#N/A,#N/A,#N/A,#N/A,-29%,-4%,-21%,-19%,-8%,TB,75.45,38%,0,-0.422972973,81.5,42%,,-340.07,-542.2,-202.13,,,,-146.68,-198.54,-196.98,-79.17,-85.6,,,,0,42780,9,10,-1,24.03,0,20.13,FB,#REF!,-27.75,-38.77,-38.55,-15.65,-16.99,-73.66,0.509701671,269,-340.07,53.59,10,,,,MiniCap
MBLINFRA,TA,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,41.5,1.81,42.5,41.3,0.023529412,0.004842615,-69%,-16%,-15%,-15%,-8%,TB,55.95,26%,0,3,147.5,72%,,88.3,-75.5894,-163.8894,,,,13.41,-121.84,32.8406,14.76,24.74,Y,,Y,0,42775,15,17,-2,61.11,3.61,1.84,FB,#REF!,3.23,-29.39,7.92,3.56,5.97,21.3,3.277794358,172,88.3,41.4546,10,,,,MiniCap
MCDHOLDING,Exit,FINANCIAL SERVICES-NBFC,#N/A,#N/A,43.25,#N/A,#N/A,#N/A,#N/A,#N/A,73%,12%,3%,2%,8%,,52.25,17%,0,-14,58.65,26%,,-21.3941,-10.014,11.3801,,,,-1.0437,-8.7936,-0.1767,-90.4125,37.1439,,,,0,42780,39,39,0,12.59,0,0.63,FB,#REF!,-0.75,2.4,-0.13,-146.54,-0.81,-148.25,0.306570119,61,-21.3941,13.9923,10,,,,MiniCap
MCDOWELL-N,Exit,FMCG-BEVERAGES,#N/A,#N/A,1962.6,9.44,2203.95,1970,0.109507929,-0.003756345,-11%,8%,-8%,-16%,-10%,TB,2427.7,19%,102.16,48,2729,28%,,968.94,274.04,-694.9,,,,147.7,82.54,43.8,5.43,37.23,Y,,Y,102.16,42885,507,513,-6,3.13,0,2.09,FB,#REF!,10.16,5.68,2.9,0.34,2.56,66.59,81.34954887,28522,968.94,145.33,10,,,,LargeCap
MCLEODRUSS,TA,FMCG-BEVERAGES,#N/A,#N/A,185,0,187.5,183.5,0.013333333,0.008174387,-9%,34%,20%,7%,11%,,196.6,6%,0,21,219.7,16%,,44.59,138.36,93.77,G,,,23.62,132.08,-17.34,-235.67,34.14,Y,,Y,0,42769,195,202,-7,23.94,1.08,0.49,,#REF!,2.16,12.07,-1.58,-21.53,3.12,3.41,12.11772692,2025,44.59,54.73,5,,,,SmallCap
MCX,HWV,FINANCIAL SERVICES,#REF!,#REF!,1128.15,-0.06,1137.5,1125,0.00821978,0.0028,47%,-7%,-3%,1%,-6%,,1258.85,10%,45.58,42,1420,21%,,42.3922,104.3962,62.004,G,,21.8781,33.9387,37.6485,32.809,27.1038,17.5114,Y,,Y,45.58,42859,188,185,3,0,1.32,0,,4.29,6.66,7.4,6.46,5.33,3.44,8.36,35.77167529,5753,42.3922,50.9984,10,,,,MidCap
MEGASOFT,Exit,IT,#N/A,#N/A,21.15,#N/A,#N/A,#N/A,#N/A,#N/A,222%,13%,3%,2%,3%,,24.9,15%,6.91,-20,26,19%,,1.31,6.5159,5.2059,,,,-1.17,7.4759,0.21,7.03,-2.36,,,,6.91,42777,3,3,0,0,0,0.77,FB,#REF!,-0.26,1.69,0.05,0,-0.53,0.28,0.410767427,94,1.31,44.27,10,,,,MiniCap
MEGH,Buy,CHEMICALS,CRUDE OIL,Down,42.9,-0.12,43.75,42.35,0.019428571,0.012987013,69%,17%,-3%,10%,15%,,49.2,13%,12.46,14,52.35,18%,,113.0268,87.5722,-25.4546,G,,,27.1137,32.5151,27.9434,34.8951,34.162,Y,,Y,12.46,42877,17,28,-11,0,0.69,0.76,,#REF!,0.78,0.99,0.74,0.92,0.91,3.25,4.360069493,1091,113.0268,25.4314,1,,,,SmallCap
MENONBE,HWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,74.65,#N/A,#N/A,#N/A,#N/A,#N/A,26%,10%,5%,5%,2%,TB,84.5,12%,22.05,26,110,32%,,14.8906,13.4467,-1.4439,,,5.7938,4.0346,4.7416,4.6705,4.2422,3.7089,Y,,Y,22.05,42852,2,2,0,11.11,1.33,0.24,,1.03,0.72,0.85,1,0.91,0.79,3.19,0.150376517,418,14.8906,5.604,1,,,,MiniCap
MEP,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,70.5,2.84,73.6,70.7,0.042119565,-0.002828854,40%,101%,74%,55%,34%,,70.2,0%,10.48,294,71.9,2%,,26.3266,101.2441,74.9175,,,,2.8759,62.5099,35.8583,10.0611,5.2752,Y,,Y,10.48,42880,9,9,0,39.06,0.28,28.71,,#REF!,0.06,3.84,2.2,0.63,0.32,1.66,0.746844124,1146,26.3266,162.5692,10,,,,SmallCap
MERCATOR,TA,TRANSPORTATION LOGISTICS,#REF!,#REF!,47.5,-0.84,48.5,46.65,0.020618557,0.018220793,122%,23%,7%,2%,2%,,55.25,14%,0,297,55.25,14%,,-1099.7337,-20.8609,1078.8728,,,,1.0369,-27.051,5.1532,0.1706,2.133,,Y,Y,0,42777,44,39,5,23.4,0.21,2.47,,#REF!,0.04,-1.1,0.21,0.01,0.09,-36.35,11.49488425,1282,-1099.7337,24.4892,1,,,,SmallCap
MERCK,Buy,PHARMA,USFDA Approvals,#REF!,1084.45,-1.14,1093,1072,0.007822507,0.011613806,65%,15%,16%,6%,4%,,1199,10%,23.03,25,1199,10%,,,63.6483,,,,14.827,18.2045,27.541,17.9028,12.2458,14.5681,Y,,Y,23.03,42858,48,47,1,0,1.01,0,,8.93,10.97,16.59,10.79,7.38,8.78,#REF!,2.652135054,1800,#REF!,16.5994,10,,,,SmallCap
METALFORGE,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,53.8,0,54.8,53.6,0.018248175,0.003731343,,-3%,,,,,,,0,-0.563232831,93.1,42%,,-270.2,-466.19,-195.99,,,,-87.76,-313.33,-65.1,-230.75,-39.45,,,,0,42780,19,16,3,0,0,2.87,FB,#REF!,-23.88,-85.26,-17.71,-62.79,-10.73,-73.52,0.454116397,234,-270.2,36.75,10,,,,MiniCap
METKORE,Exit,METALS AND MINING,#N/A,#N/A,2.95,#N/A,#N/A,#N/A,#N/A,#N/A,5%,7%,4%,-8%,-2%,TB,4.65,37%,0,-1.536458333,4.65,37%,,-11.3382,-19.9742,-8.636,,,,-3.4093,-1.7521,-14.8128,-3.2814,-3.0652,,,,0,42779,8,7,1,6.22,0,0.57,FB,#REF!,-0.48,-0.25,-2.1,-0.47,-0.44,-1.61,0.030845554,21,-11.3382,14.0853,2,,,,MiniCap
MFSL,Exit,FINANCIAL SERVICES,#REF!,#REF!,643.15,1.65,659.7,639.05,0.025087161,0.006415773,74%,23%,15%,14%,11%,,675.95,5%,113.91,54,675.95,5%,,393.19,174.49,-218.7,,,,80.49,-13.12,107.12,-23.83,127.37,Y,,Y,113.91,42776,341,313,28,52.59,0.55,0,FB,#REF!,2.97,-0.49,4.01,-0.89,4.74,9.38,39.39704354,17192,393.19,53.45,2,,,,LargeCap
MGL,NL,ENERGY-OIL & GAS,NATURAL GAS,UP,1007.95,-0.72,1014.4,997.15,0.006358438,0.010830868,,31%,19%,15%,13%,,1054.95,4%,26.35,25,1054.95,4%,,311.1,293.97,-17.13,G,,,99,102.24,92.73,84.58,76.08,Y,,Y,26.35,42777,147,155,-8,0,1.73,0,,#REF!,10.02,10.35,9.39,8.56,0,31.36,15.00299782,9956,311.1,98.78,10,MGL,,,MidCap
MHRIL,HWV,ENTERTAINMENT-HOTELS AND LEISURE,#REF!,#REF!,472.6,-0.36,479.9,466,0.015211502,0.01416309,14%,22%,15%,9%,9%,TB,468,-1%,31.99,29,514,8%,,119.1207,98.8313,-20.2894,G,,,35.7193,32.8676,30.2444,32.09,31.2641,Y,,Y,31.99,42874,83,74,9,0,1.05,0.96,,#REF!,4.03,3.71,3.43,3.63,3.54,11.22,1.952790938,4196,119.1207,88.2095,10,,,,SmallCap
MIC,TA,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,14.05,-2.49,14,13.65,-0.003571429,0.029304029,-20%,1%,0%,-9%,-4%,TB,16,12%,0,18,19.65,28%,,-110.88,9.85,120.73,,,-7.43,3.48,2.22,4.15,-128.28,2.21,Y,,Y,0,42865,3,3,0,12.45,0,0.51,FB,-0.36,0.2,0.11,0.2,-6.84,0.12,-5.91,1.93965483,309,-110.88,35.39,2,,,,MiniCap
MINDACORP,HWV,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,113.6,0.97,115,113,0.012173913,0.005309735,-8%,30%,29%,18%,21%,,124.4,9%,23.01,30,143.3,21%,,109.96,58.01,-51.95,,,,3.16,30.31,24.54,25.46,33.87,,,,23.01,42779,16,16,0,0,0.44,0.87,,#REF!,0.96,1.53,1.19,1.26,1.51,5.12,2.544420156,2378,109.96,41.86,2,,,,SmallCap
MINDAIND,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,497.35,0.35,509,495,0.022888016,0.004747475,127%,72%,45%,13%,12%,,506.9,2%,28.23,22,509.4,2%,,110.9603,115.48,4.5197,G,,,51.4,38.72,25.36,45.5778,31.4306,Y,,Y,28.23,42871,61,24,37,0,0.28,0.76,,#REF!,5.64,4.84,17.09,26.81,18.16,69.97,4.015030929,4298,110.9603,15.87,2,,,,SmallCap
MINDTECK,NL,IT,#N/A,#N/A,84.3,#N/A,#N/A,#N/A,#N/A,#N/A,,6%,-9%,-3%,8%,,97,13%,20.67,73,106.8,21%,,25.9273,8.2376,-17.6897,,,,0.7334,4.1297,3.3745,2.1238,10.3473,,,,20.67,42877,1,1,0,0,1.18,0,,#REF!,0.29,1.61,1.32,0.8,4.11,10.25,0.368967884,214,25.9273,25.3141,10,MINDTECK,,,MiniCap
MINDTREE,Buy,IT,#N/A,#N/A,500.65,0.82,508.95,494.35,0.016308085,0.012744007,-29%,5%,16%,6%,11%,,494.9,-1%,20.1,20,682,27%,,603.3,321.4,-281.9,,,97.2,103.1,94.8,123.5,156,150.9,Y,,Y,20.1,42845,199,197,2,0,1.99,0.02,,5.77,6.13,5.64,7.35,9.27,17.85,35.89,25.14401553,8412,603.3,168,10,,,,MidCap
MIRCELECTR,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,14.2,#N/A,#N/A,#N/A,#N/A,#N/A,44%,15%,4%,7%,2%,,16.6,14%,0,-7,19.15,26%,,-19.45,-17.91,1.54,,,,-9.73,-9.09,0.91,1.7,-14.85,,,,0,42877,23,23,0,34.8,0,1.5,FB,#REF!,-0.49,-0.47,0.05,0.09,-0.76,-0.99,0.415101207,301,-19.45,19.62,1,,,,MiniCap
MIRZAINT,Buy,FOOTWEAR,#REF!,#REF!,131.9,-2.61,134.6,127,0.020059435,0.038582677,-10%,62%,46%,43%,53%,,117.9,-12%,19.27,23,134.4,2%,,78.0914,53.5448,-24.5466,,,,17.1651,16.3526,20.0271,28.9713,15.0852,Y,,Y,19.27,42766,18,16,2,0,0.37,0.44,,#REF!,1.43,1.36,1.66,2.68,1.63,7.21,3.835752335,1587,78.0914,24.0612,2,,,,SmallCap
MMFL,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,637.35,0.27,643,630.05,0.008786936,0.011586382,26%,55%,31%,37%,18%,,639.9,0%,18.25,19,649,2%,,50.0884,30.6771,-19.4113,,,,10.0646,10.1633,10.4492,10.9723,13.1081,Y,,Y,18.25,42874,7,7,0,0,0.94,0.68,,#REF!,8.34,8.42,8.66,9.09,10.86,41.5,0.374636594,769,50.0884,12.0704,10,,,RS3,MiniCap
