Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt,% Low movt,Yearly Gainner,27th Dec,1st Feb,1st March,1st April,TB,RH,Corr,PeRatio,New Pe,W52_High,Corre,latest,Annual_Pat,Cum PAT 3 Quarter,Pat Jump,Annual Growth,Year End,Mar_17_ReportedPAT,Dec_16_ReportedPAT,Sep_16_ReportedPAT,Jun_16_ReportedPAT,Mar_16_ReportedPAT,Dec_15_ReportedPAT,Y oY PAT,LQ>0.5(4q's),PAT Growth,PeRatio,ResultDate,Mar_17_Inst_no_of_shares,Dec_16_Inst_no_of_shares,Int/ Incr/ Decr,Pledge,DividendYield,DERatio,FB,Mar_17_Eps_Before,Dec_16_Eps_Before,Sep_16_Eps_Before,Jun_16_Eps_Before,Mar_16_Eps_Before,Dec_15_Eps_Before,Annual_Eps,Volume,MarketCap,Annual_Pat,EquityCapital,FaceValue,New Listing,PE High Price High,Future,Cap Category
AGRITECH,Exit,FMCG-FOOD,#N/A,#N/A,61.3,#N/A,#N/A,#N/A,#N/A,#N/A,447%,96%,87%,97%,60%,,67.35,9%,1.83,-53,67.35,9%,42885,18.7452,0.0801,-18.6651,,,0,-0.175,0.3903,-0.1352,19.7908,-0.0262,,,,1.83,42885,13,13,0,0,0,0.01,FB,0,-0.29,0.66,-0.23,33.32,-0.04,31.56,0.030784203,36,18.7452,5.94,10,,,,MiniCap
AHLEAST,HWLV,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,271.1,-0.41,275,266.1,0.014181818,0.018789929,51%,46%,34%,22%,25%,,312,13%,17.65,14,312,13%,42776,-13.329,8.6418,21.9708,,,0,4.5447,3.525,0.5721,9.2141,-0.0295,Y,,Y,17.65,42776,32,32,0,0,0.73,0.2,,0,4.93,3.61,0.5,8.05,-0.03,-5.61,0.026870626,313,-13.329,11.5278,10,,,,MiniCap
AHLUCONT,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,385.9,2.06,394,385,0.020558376,0.002337662,9%,54%,44%,21%,23%,,367.5,-5%,27.96,26,395,2%,42779,84.3955,65.6482,-18.7473,G,,0,24.4499,19.6636,21.5347,26.7052,19.8362,Y,,Y,27.96,42779,56,52,4,39.77,0,0.32,,0,3.65,2.94,3.21,3.99,2.96,12.6,1.747841791,2585,84.3955,13.3975,2,,,,SmallCap
AHLWEST,TA,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,196.25,#N/A,#N/A,#N/A,#N/A,#N/A,99%,-6%,-9%,-9%,-12%,,238.9,18%,0,19,247,21%,42881,-61.1079,-6.4932,54.6147,,,0,2.9052,-3.1698,-6.2286,0.9856,1.0326,Y,,Y,0,42881,30,30,0,0,0.5,4.21,,0,2.54,-2.77,-5.44,0.86,0.9,-44.13,0.020482993,225,-61.1079,11.4583,10,,,,MiniCap
AIAENG,HWV,INFRA-MACHINERY EQUIPMENT,iron ore,down,1523.45,-1.08,1544.45,1500.25,0.013597073,0.015464089,76%,22%,14%,3%,-4%,,1675,9%,30.15,29.84815831,1675,9%,42779,424.1288,341.9553,-82.1735,G,,0,120.4776,112.4394,109.0383,134.3259,93.4129,Y,,Y,30.15,42779,214,190,24,0,1.18,0.07,,0,12.76,11.91,11.56,14.27,9.9,44.98,8.868709841,14369,424.1288,18.8641,2,,,,MidCap
AICHAMP,Exit,DIVERSIFIED,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,34,,0,#N/A,34,,42776,-5.4744,-6.3853,-0.9109,,,0,-0.7278,-2.0265,-3.631,-0.6303,-1.5647,,,,0,42776,31,31,0,0,0,1.58,#N/A,0,-0.27,-0.74,-1.32,-0.23,-0.57,-2,0.00063539,82,-5.4744,13.7104,5,,,,MiniCap
AIFL,RS,TEXTILES AND APPAREL,0,0,405.9,-0.3,409.15,402.85,0.007943297,0.007571056,58%,-1%,-3%,-1%,3%,,444.9,9%,60.84,77,465.5,13%,42775,15.5041,9.8241,-5.68,,,0,2.5754,4.1368,3.1119,3.4035,2.3468,Y,,Y,60.84,42775,5,3,2,2.84,0,1.1,FB,0,1.32,2.13,1.59,1.72,1.19,6.59,2.768575482,806,15.5041,19.4672,10,,,,MiniCap
AJANTPHARM,Buy,PHARMA,#N/A,#N/A,1598.35,-0.72,1611.75,1578.05,0.008313944,0.012863978,29%,-5%,-4%,-7%,-9%,TB,1852.95,14%,28.17,21,2125,25%,,401.41,391.84,-9.57,G,,107.97,170.98,120.95,99.91,135.71,103.34,Y,,Y,28.17,42858,139,154,-15,8.68,0.81,0.06,,12.27,19.42,13.74,11.35,15.42,11.74,45.61,34.98463326,14066,401.41,17.69,2,,,,MidCap
AJMERA,HWV,REALTY,#N/A,#N/A,237.8,-2.27,239.6,230.7,0.007512521,0.030775899,55%,85%,55%,32%,17%,,237,0%,13.59,9,242.6,2%,42769,45.58,40.95,-4.63,G,,0,23.66,10.45,6.84,24.61,8.49,Y,,Y,13.59,42769,7,4,3,10.14,1.05,0.45,,0,6.49,2.88,1.91,6.19,2.34,11.95,2.63555727,844,45.58,35.48,10,,,,MiniCap
AKSHARCHEM,NL,CHEMICALS,#N/A,#N/A,867.65,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,19%,,860.8,-1%,27.69,9,872,0%,42882,0,17.5565,17.5565,G,,0,17.5565,0,0,0,0,Y,,Y,27.69,42882,1,1,0,0,0.4,0.34,,0,24.01,0,0,0,0,0,2.17,635,0,7.3129,10,AKSHARCHEM,,,MiniCap
AKSHOPTFBR,HWV,INFRA-MACHINERY EQUIPMENT,0,0,23,0,23.25,23,0.010752688,0,74%,1%,-6%,2%,8%,,26.15,12%,24.85,47.91666667,30.9,26%,42877,25.6036,12.9534,-12.6502,,,0,1.9904,2.3368,8.6262,2.2028,11.2005,,,,24.85,42877,5,4,1,0,0,0.18,,0,0.12,0.14,0.53,0.14,0.73,1.63,3.47053599,374,25.6036,81.3325,5,,,,MiniCap
AKZOINDIA,HWV,REALTY-HOUSEHOLD,0,0,1952.5,-1.05,1977.05,1921.5,0.012417491,0.016133229,42%,43%,37%,29%,2%,,2089,7%,40.2,33,2089,7%,42873,202.1,174.42,-27.68,G,,0,68.57,41.59,64.26,52.57,63.24,Y,,Y,40.2,42873,148,149,-1,0,3.58,0,,0,14.7,8.91,13.77,11.3,13.55,43.3,2.177313199,9110,202.1,46.66,10,,,,MidCap
ALANKIT,HWV,FINANCIAL SERVICES,0,0,21.05,-0.24,21.3,20.95,0.011737089,0.00477327,-51%,-30%,-40%,-25%,-11%,TB,37.45,44%,33.36,21,85,75%,42765,3.6994,7.1426,3.4432,,,0,3.6132,1.6365,1.8929,1.9223,0.6372,Y,,Y,33.36,42765,3,2,1,0,0.95,0,,0,0.25,0.46,0.53,0.54,0.18,1.03,5.704451882,301,3.6994,14.2958,1,,,,MiniCap
