Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5400","Europe","5154","Other uses","2551","Nuts and products","2013","2013","1000 tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5142","Food","2551","Nuts and products","2013","2013","1000 tonnes","2846","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","645","Food supply quantity (kg/capita/yr)","2551","Nuts and products","2013","2013","kg","3.83","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","664","Food supply (kcal/capita/day)","2551","Nuts and products","2013","2013","kcal/capita/day","25","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","674","Protein supply quantity (g/capita/day)","2551","Nuts and products","2013","2013","g/capita/day","0.66","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","684","Fat supply quantity (g/capita/day)","2551","Nuts and products","2013","2013","g/capita/day","2.23","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","5511","Production","2555","Soyabeans","2013","2013","1000 tonnes","6100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5611","Import Quantity","2555","Soyabeans","2013","2013","1000 tonnes","16540","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5072","Stock Variation","2555","Soyabeans","2013","2013","1000 tonnes","196","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5911","Export Quantity","2555","Soyabeans","2013","2013","1000 tonnes","3738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5301","Domestic supply quantity","2555","Soyabeans","2013","2013","1000 tonnes","19098","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5521","Feed","2555","Soyabeans","2013","2013","1000 tonnes","1732","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5527","Seed","2555","Soyabeans","2013","2013","1000 tonnes","332","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5123","Losses","2555","Soyabeans","2013","2013","1000 tonnes","220","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5131","Processing","2555","Soyabeans","2013","2013","1000 tonnes","16672","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5154","Other uses","2555","Soyabeans","2013","2013","1000 tonnes","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5142","Food","2555","Soyabeans","2013","2013","1000 tonnes","139","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","645","Food supply quantity (kg/capita/yr)","2555","Soyabeans","2013","2013","kg","0.19","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","664","Food supply (kcal/capita/day)","2555","Soyabeans","2013","2013","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","674","Protein supply quantity (g/capita/day)","2555","Soyabeans","2013","2013","g/capita/day","0.17","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","684","Fat supply quantity (g/capita/day)","2555","Soyabeans","2013","2013","g/capita/day","0.08","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","5511","Production","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","8","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5611","Import Quantity","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","1154","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5072","Stock Variation","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5911","Export Quantity","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","334","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5301","Domestic supply quantity","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","832","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5521","Feed","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5527","Seed","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5123","Losses","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
